acc_test,L_test,Loss_train,acc_train,it
  36.8900,   1.8544,   1.7931,  37.7975,0
  49.9800,   1.4360,   1.3243,  52.8925,1
  55.6400,   1.2393,   1.1281,  58.9425,2
  55.4000,   1.4251,   1.0911,  63.6675,3
  55.1200,   1.7180,   1.2211,  64.4825,4
  62.0000,   1.2902,   0.6862,  77.5450,5
  72.3900,   0.8635,   0.2433,  92.2325,6
  76.0400,   0.7577,   0.0941,  97.8075,7
  77.6900,   0.7436,   0.0354,  99.4450,8
  79.3000,   0.7709,   0.0093,  99.9100,9
  78.4100,   0.8184,   0.0147,  99.8200,10
  77.2400,   0.9371,   0.0427,  99.2600,11
  78.2000,   0.8867,   0.0253,  99.4325,12
  78.9100,   0.8502,   0.0089,  99.9125,13
  79.3400,   0.8548,   0.0061,  99.9425,14
  78.4700,   0.8662,   0.0110,  99.8600,15
  78.5100,   0.8882,   0.0124,  99.7875,16
  79.3800,   0.8243,   0.0105,  99.8475,17
  79.3400,   0.8388,   0.0069,  99.9425,18
  79.6300,   0.8602,   0.0037,  99.9525,19
  79.5300,   0.9386,   0.0028,  99.9700,20
  77.9400,   1.0169,   0.0120,  99.7200,21
  79.1700,   0.9406,   0.0036,  99.9550,22
  78.5500,   0.9380,   0.0052,  99.9550,23
  78.9300,   0.9492,   0.0079,  99.8825,24
  79.2400,   0.8969,   0.0047,  99.9650,25
  79.7400,   0.8885,   0.0029,  99.9800,26
  79.1800,   0.9011,   0.0098,  99.8050,27
  78.7400,   0.9086,   0.0081,  99.8400,28
  79.2300,   0.8920,   0.0061,  99.9075,29
  79.6400,   0.9059,   0.0034,  99.9775,30
  79.0700,   0.9561,   0.0052,  99.8950,31
  79.6300,   0.9233,   0.0014,  99.9900,32
  79.3700,   0.9172,   0.0025,  99.9825,33
  79.6100,   0.8964,   0.0023,  99.9900,34
  79.9400,   0.8978,   0.0014, 100.0000,35
  80.3800,   0.9023,   0.0008,  99.9925,36
  80.6800,   0.8972,   0.0003, 100.0000,37
  80.6200,   0.9091,   0.0003, 100.0000,38
  80.7000,   0.9171,   0.0002, 100.0000,39
  80.6400,   0.9275,   0.0002, 100.0000,40
  78.4800,   0.9379,   0.0243,  99.2700,41
  78.8300,   0.9409,   0.0090,  99.7975,42
  79.5700,   0.9475,   0.0030,  99.9700,43
  79.1100,   0.9486,   0.0065,  99.8725,44
  78.9400,   0.9367,   0.0079,  99.8475,45
  79.8800,   0.9090,   0.0033,  99.9825,46
  80.3400,   0.8786,   0.0012,  99.9950,47
  80.5900,   0.8890,   0.0005, 100.0000,48
  80.5700,   0.9024,   0.0004, 100.0000,49
  79.5000,   0.9618,   0.0030,  99.9425,50
  79.7500,   0.9619,   0.0017,  99.9950,51
  79.5400,   0.9066,   0.0047,  99.9400,52
  80.4000,   0.8988,   0.0007, 100.0000,53
  80.2400,   0.9226,   0.0006,  99.9975,54
  80.3200,   0.9226,   0.0003, 100.0000,55
  80.5400,   0.9302,   0.0002, 100.0000,56
  80.4400,   0.9374,   0.0002, 100.0000,57
  80.4200,   0.9428,   0.0002, 100.0000,58
  80.5200,   0.9478,   0.0002, 100.0000,59
  80.4700,   0.9546,   0.0001, 100.0000,60
  80.5500,   0.9575,   0.0001, 100.0000,61
  80.5300,   0.9603,   0.0001, 100.0000,62
  80.4800,   0.9632,   0.0001, 100.0000,63
  80.4900,   0.9650,   0.0001, 100.0000,64
