acc_test,L_test,Loss_train,acc_train,it
  41.5400,   1.7771,   1.7109,  42.9725,0
  47.6100,   1.7918,   1.5017,  52.7900,1
  49.3600,   1.7023,   1.2245,  60.6800,2
  54.2600,   1.5454,   0.9058,  69.3900,3
  67.7700,   0.9692,   0.2903,  90.6275,4
  74.2700,   0.8197,   0.0951,  97.9050,5
  78.2900,   0.8215,   0.0143,  99.8350,6
  79.2000,   0.8445,   0.0034,  99.9600,7
  79.6400,   0.8745,   0.0015,  99.9675,8
  79.7300,   0.8974,   0.0006,  99.9950,9
  79.6900,   0.9171,   0.0005,  99.9950,10
  79.5900,   0.9308,   0.0003,  99.9975,11
  79.6000,   0.9423,   0.0003,  99.9975,12
  79.5900,   0.9521,   0.0002,  99.9975,13
  79.5800,   0.9641,   0.0002, 100.0000,14
  79.6600,   0.9738,   0.0001, 100.0000,15
  79.6500,   0.9822,   0.0001, 100.0000,16
  79.6500,   0.9888,   0.0001, 100.0000,17
  79.7100,   0.9973,   0.0001, 100.0000,18
  79.6800,   1.0026,   0.0001, 100.0000,19
  79.6300,   1.0080,   0.0001, 100.0000,20
  79.6800,   1.0108,   0.0001, 100.0000,21
  79.6300,   1.0157,   0.0001, 100.0000,22
  79.6500,   1.0200,   0.0001, 100.0000,23
  79.6400,   1.0237,   0.0001, 100.0000,24
  79.6500,   1.0286,   0.0001, 100.0000,25
  79.6500,   1.0298,   0.0001, 100.0000,26
  79.6100,   1.0313,   0.0001, 100.0000,27
  79.7000,   1.0363,   0.0000, 100.0000,28
  79.6900,   1.0387,   0.0000, 100.0000,29
  79.6500,   1.0458,   0.0000, 100.0000,30
  79.6700,   1.0468,   0.0000, 100.0000,31
  79.7300,   1.0514,   0.0000, 100.0000,32
  79.6800,   1.0512,   0.0000, 100.0000,33
  79.7400,   1.0542,   0.0000, 100.0000,34
  79.6500,   1.0577,   0.0000, 100.0000,35
  79.6300,   1.0592,   0.0000, 100.0000,36
  79.6500,   1.0612,   0.0000, 100.0000,37
  79.6200,   1.0628,   0.0000, 100.0000,38
  79.7300,   1.0649,   0.0000, 100.0000,39
  79.7300,   1.0665,   0.0000, 100.0000,40
  79.6900,   1.0678,   0.0000, 100.0000,41
  79.7100,   1.0708,   0.0000, 100.0000,42
  79.7800,   1.0726,   0.0000, 100.0000,43
  79.6100,   1.0731,   0.0000, 100.0000,44
  79.6700,   1.0754,   0.0000, 100.0000,45
