acc_test,L_test,Loss_train,acc_train,it
  39.1800,   1.6479,   1.6503,  38.7200,0
  48.6900,   1.4250,   1.4146,  48.5625,1
  41.4500,   1.9748,   1.9313,  42.3650,2
  57.0900,   1.2535,   1.1653,  59.6425,3
  59.0800,   1.2042,   1.0320,  63.9075,4
  63.1000,   1.0584,   0.8770,  68.7350,5
  68.5800,   0.9306,   0.6812,  75.9225,6
  68.3600,   0.9498,   0.6508,  77.1750,7
  62.3300,   1.2262,   0.8448,  70.5775,8
  70.4400,   0.9039,   0.4606,  83.8150,9
  74.5700,   0.7853,   0.3082,  88.5375,10
  73.1500,   0.8836,   0.3130,  88.5450,11
  76.1400,   0.7926,   0.1994,  93.2300,12
  76.2800,   0.7911,   0.1820,  93.4800,13
  78.7700,   0.7629,   0.0923,  97.2225,14
  78.8900,   0.7600,   0.0674,  97.9825,15
  78.8200,   0.7520,   0.0686,  97.9000,16
  79.2400,   0.7666,   0.0533,  98.4075,17
  81.3600,   0.6856,   0.0207,  99.6750,18
  79.4200,   0.8136,   0.0345,  99.0500,19
  81.3900,   0.7428,   0.0126,  99.8075,20
  81.6500,   0.7198,   0.0120,  99.8250,21
  81.3400,   0.7464,   0.0104,  99.8550,22
  79.0100,   0.9457,   0.0422,  98.6700,23
  81.6300,   0.7514,   0.0088,  99.9275,24
  82.5200,   0.7089,   0.0043,  99.9450,25
  82.3700,   0.7235,   0.0031,  99.9800,26
  82.6100,   0.7458,   0.0036,  99.9475,27
  82.7000,   0.7503,   0.0022,  99.9675,28
  82.5800,   0.7678,   0.0061,  99.8125,29
  82.8300,   0.7569,   0.0017,  99.9825,30
  83.2800,   0.7472,   0.0009,  99.9950,31
  83.2500,   0.7706,   0.0007,  99.9925,32
  83.1800,   0.7883,   0.0005,  99.9925,33
  83.2600,   0.7976,   0.0007,  99.9900,34
  83.5500,   0.7852,   0.0002, 100.0000,35
  83.6400,   0.7904,   0.0003,  99.9975,36
  83.3600,   0.8015,   0.0002,  99.9975,37
  83.4100,   0.8079,   0.0002,  99.9975,38
  83.5400,   0.8068,   0.0001, 100.0000,39
  83.6900,   0.8186,   0.0001, 100.0000,40
  83.5700,   0.8153,   0.0001, 100.0000,41
  83.7100,   0.8216,   0.0001, 100.0000,42
  83.7200,   0.8201,   0.0001, 100.0000,43
  83.7400,   0.8262,   0.0001, 100.0000,44
  83.6700,   0.8288,   0.0001, 100.0000,45
  83.6800,   0.8323,   0.0001, 100.0000,46
  83.6700,   0.8316,   0.0001, 100.0000,47
  83.7000,   0.8434,   0.0001, 100.0000,48
  83.7400,   0.8354,   0.0001, 100.0000,49
  83.7000,   0.8379,   0.0001, 100.0000,50
  83.7100,   0.8382,   0.0001, 100.0000,51
  83.8000,   0.8431,   0.0001, 100.0000,52
  83.6800,   0.8452,   0.0001, 100.0000,53
  83.6500,   0.8415,   0.0001, 100.0000,54
  83.6900,   0.8423,   0.0001, 100.0000,55
  83.5700,   0.8444,   0.0001, 100.0000,56
  83.7500,   0.8535,   0.0005,  99.9875,57
  83.7000,   0.8453,   0.0000, 100.0000,58
  83.5700,   0.8524,   0.0001, 100.0000,59
  83.6600,   0.8502,   0.0000, 100.0000,60
  83.7100,   0.8510,   0.0000, 100.0000,61
  83.7400,   0.8553,   0.0000, 100.0000,62
  83.7300,   0.8534,   0.0000, 100.0000,63
  83.6800,   0.8567,   0.0000, 100.0000,64
  83.7500,   0.8572,   0.0000, 100.0000,65
  83.7600,   0.8646,   0.0000, 100.0000,66
  83.7400,   0.8585,   0.0000, 100.0000,67
  83.7200,   0.8593,   0.0000, 100.0000,68
  83.8000,   0.8619,   0.0000, 100.0000,69
  83.6800,   0.8626,   0.0000, 100.0000,70
  83.6400,   0.8685,   0.0000, 100.0000,71
  83.7700,   0.8668,   0.0000, 100.0000,72
  83.6500,   0.8649,   0.0000, 100.0000,73
  83.8100,   0.8673,   0.0000, 100.0000,74
  83.6600,   0.8646,   0.0000, 100.0000,75
  83.7000,   0.8678,   0.0000, 100.0000,76
  83.6600,   0.8731,   0.0000, 100.0000,77
  83.6600,   0.8645,   0.0000, 100.0000,78
  83.6200,   0.8732,   0.0000, 100.0000,79
  83.6300,   0.8722,   0.0000, 100.0000,80
  83.6400,   0.8691,   0.0000, 100.0000,81
  83.7100,   0.8722,   0.0000, 100.0000,82
  83.7000,   0.8736,   0.0000, 100.0000,83
  83.6000,   0.8742,   0.0000, 100.0000,84
  83.6000,   0.8780,   0.0000, 100.0000,85
  83.5500,   0.8770,   0.0000, 100.0000,86
  83.6500,   0.8772,   0.0000, 100.0000,87
  83.6600,   0.8766,   0.0000, 100.0000,88
  83.6600,   0.8735,   0.0000, 100.0000,89
  83.6900,   0.8778,   0.0000, 100.0000,90
  83.6500,   0.8831,   0.0000, 100.0000,91
  83.6900,   0.8796,   0.0000, 100.0000,92
  83.6900,   0.8860,   0.0000, 100.0000,93
  83.6400,   0.8824,   0.0000, 100.0000,94
  83.6400,   0.8773,   0.0000, 100.0000,95
  83.6800,   0.8827,   0.0000, 100.0000,96
  83.7100,   0.8810,   0.0000, 100.0000,97
  83.7200,   0.8813,   0.0000, 100.0000,98
  83.7300,   0.8861,   0.0000, 100.0000,99
  83.6400,   0.8809,   0.0000, 100.0000,100
  83.6500,   0.8861,   0.0000, 100.0000,101
  83.6300,   0.8818,   0.0000, 100.0000,102
  83.5400,   0.8850,   0.0000, 100.0000,103
  83.5400,   0.8899,   0.0000, 100.0000,104
  83.5700,   0.8877,   0.0000, 100.0000,105
  83.6900,   0.8869,   0.0000, 100.0000,106
  83.5900,   0.8860,   0.0000, 100.0000,107
  83.5900,   0.8835,   0.0000, 100.0000,108
  83.6700,   0.8903,   0.0000, 100.0000,109
  83.6300,   0.8899,   0.0000, 100.0000,110
  83.7100,   0.8915,   0.0000, 100.0000,111
  83.6300,   0.8891,   0.0000, 100.0000,112
  83.5500,   0.8886,   0.0000, 100.0000,113
  83.6500,   0.8912,   0.0000, 100.0000,114
  83.7400,   0.8911,   0.0000, 100.0000,115
  83.7500,   0.8887,   0.0000, 100.0000,116
  83.5400,   0.8863,   0.0000, 100.0000,117
  83.6100,   0.8893,   0.0000, 100.0000,118
  83.6100,   0.8871,   0.0000, 100.0000,119
  83.5800,   0.8889,   0.0000, 100.0000,120
  83.6100,   0.8868,   0.0000, 100.0000,121
  83.5700,   0.8940,   0.0000, 100.0000,122
  83.6600,   0.8906,   0.0000, 100.0000,123
  83.6900,   0.8898,   0.0000, 100.0000,124
  83.7600,   0.8892,   0.0000, 100.0000,125
  83.7000,   0.8914,   0.0000, 100.0000,126
  83.6600,   0.8946,   0.0000, 100.0000,127
  83.7200,   0.8932,   0.0000, 100.0000,128
  83.6500,   0.8874,   0.0000, 100.0000,129
  83.6500,   0.8900,   0.0000, 100.0000,130
  83.6600,   0.8929,   0.0000, 100.0000,131
  83.6400,   0.8913,   0.0000, 100.0000,132
  83.6500,   0.8928,   0.0000, 100.0000,133
  83.7500,   0.8905,   0.0000, 100.0000,134
  83.8500,   0.8888,   0.0000, 100.0000,135
  83.4900,   0.9005,   0.0000, 100.0000,136
  83.6400,   0.8949,   0.0000, 100.0000,137
  83.6700,   0.8954,   0.0000, 100.0000,138
  83.6600,   0.8892,   0.0000, 100.0000,139
  83.7500,   0.8944,   0.0000, 100.0000,140
  83.5700,   0.8992,   0.0000, 100.0000,141
  83.6700,   0.8895,   0.0000, 100.0000,142
  83.6700,   0.8970,   0.0000, 100.0000,143
  83.7200,   0.8990,   0.0000, 100.0000,144
  83.6100,   0.8921,   0.0000, 100.0000,145
  83.6600,   0.8947,   0.0000, 100.0000,146
  83.6800,   0.8922,   0.0000, 100.0000,147
  83.7600,   0.8939,   0.0000, 100.0000,148
  83.6400,   0.8923,   0.0000, 100.0000,149
  83.5600,   0.8995,   0.0000, 100.0000,150
  83.6900,   0.8937,   0.0000, 100.0000,151
  83.6200,   0.8927,   0.0000, 100.0000,152
  83.6700,   0.8966,   0.0000, 100.0000,153
  83.7200,   0.8958,   0.0000, 100.0000,154
  83.5900,   0.8942,   0.0000, 100.0000,155
  83.6000,   0.8951,   0.0000, 100.0000,156
  83.6000,   0.8969,   0.0000, 100.0000,157
  83.7400,   0.8940,   0.0000, 100.0000,158
  83.7400,   0.8969,   0.0000, 100.0000,159
  83.6200,   0.8968,   0.0000, 100.0000,160
  83.5200,   0.8994,   0.0000, 100.0000,161
  83.6600,   0.8978,   0.0000, 100.0000,162
  83.7400,   0.8969,   0.0000, 100.0000,163
  83.6400,   0.8968,   0.0000, 100.0000,164
  83.6000,   0.8973,   0.0000, 100.0000,165
  83.6800,   0.9003,   0.0000, 100.0000,166
  83.6200,   0.8986,   0.0000, 100.0000,167
  83.6500,   0.8955,   0.0000, 100.0000,168
