acc_test,L_test,Loss_train,acc_train,it
  40.5700,   1.7406,   1.7019,  40.5925,0
  45.7000,   1.7258,   1.7061,  44.0475,1
  42.0100,   2.1002,   1.8391,  44.0800,2
  50.8400,   1.7782,   1.6811,  50.7500,3
  55.5000,   1.7740,   1.6305,  55.4750,4
  62.4500,   1.2413,   1.1722,  63.0950,5
  56.4000,   1.6552,   1.4427,  57.7075,6
  66.5500,   1.1038,   1.0754,  65.8200,7
  69.4500,   0.9736,   0.9574,  68.9550,8
  68.4200,   1.0356,   0.9126,  70.5200,9
  74.8700,   0.7537,   0.6792,  76.1775,10
  71.7000,   0.9011,   0.7781,  73.6975,11
  74.3500,   0.7990,   0.7280,  75.7500,12
  76.5800,   0.7223,   0.6138,  78.7325,13
  78.7900,   0.6423,   0.5450,  81.2025,14
  77.7700,   0.7240,   0.5589,  81.0925,15
  80.6200,   0.5781,   0.4452,  84.4725,16
  82.1900,   0.5289,   0.3806,  86.6500,17
  82.6200,   0.5361,   0.3760,  86.9200,18
  83.0600,   0.5158,   0.3600,  87.3650,19
  84.1400,   0.4930,   0.3189,  88.9250,20
  83.9000,   0.4900,   0.2933,  89.8175,21
  84.8600,   0.4527,   0.2721,  90.4875,22
  84.8500,   0.4741,   0.2691,  90.3075,23
  83.4500,   0.5014,   0.2840,  90.1025,24
  86.1200,   0.4383,   0.2284,  92.0300,25
  85.9000,   0.4359,   0.2309,  91.9325,26
  85.8400,   0.4356,   0.2039,  92.6425,27
  87.1300,   0.3871,   0.1777,  93.8825,28
  87.4000,   0.3955,   0.1719,  94.0200,29
  87.1600,   0.3927,   0.1627,  94.4550,30
  87.9200,   0.3768,   0.1366,  95.3425,31
  87.6200,   0.3838,   0.1353,  95.4575,32
  87.9900,   0.3952,   0.1265,  95.6575,33
  88.4700,   0.3816,   0.1046,  96.5050,34
  88.4100,   0.3852,   0.1141,  96.0925,35
  88.2300,   0.3688,   0.0989,  96.6550,36
  89.2600,   0.3580,   0.0866,  97.2225,37
  89.0000,   0.3764,   0.0867,  97.1125,38
  89.0600,   0.3539,   0.0848,  97.2950,39
  89.0300,   0.3627,   0.0796,  97.3975,40
  88.8900,   0.3852,   0.0804,  97.3725,41
  89.4200,   0.3570,   0.0605,  97.9600,42
  89.1500,   0.3636,   0.0637,  98.0225,43
  89.4800,   0.3624,   0.0580,  98.2175,44
  89.6000,   0.3636,   0.0615,  98.0600,45
  89.0200,   0.3892,   0.0685,  97.6050,46
