acc_test,L_test,Loss_train,acc_train,it
  29.6900,   2.1065,   2.0164,  29.6225,0
  44.2400,   1.5810,   1.6322,  42.7950,1
  49.9800,   1.5508,   1.5111,  49.9125,2
  50.3600,   1.7285,   1.6165,  50.4425,3
  51.5700,   1.8084,   1.7049,  51.3325,4
  61.4800,   1.3148,   1.2448,  60.9100,5
  64.3700,   1.2454,   1.1550,  65.0250,6
  68.8700,   1.0517,   0.9703,  69.6475,7
  70.3100,   0.9747,   0.8545,  72.2225,8
  70.4600,   1.0113,   0.9176,  70.6575,9
  71.9200,   0.9664,   0.8388,  73.4275,10
  70.5800,   0.9309,   0.8471,  72.0625,11
  74.5500,   0.8319,   0.6976,  76.8050,12
  74.9000,   0.8194,   0.6950,  76.9900,13
  72.2900,   0.9251,   0.7652,  75.1475,14
  77.0100,   0.7650,   0.5982,  79.8550,15
  77.3500,   0.7352,   0.5681,  80.5750,16
  80.5700,   0.6192,   0.4672,  84.1750,17
  82.2700,   0.5601,   0.4262,  84.9825,18
  80.3500,   0.6171,   0.4892,  82.9550,19
  84.2100,   0.4932,   0.3367,  88.1900,20
  83.0600,   0.5155,   0.3551,  87.3825,21
  84.4300,   0.4811,   0.3166,  88.7725,22
  84.0800,   0.4964,   0.3325,  88.3300,23
  83.4400,   0.5168,   0.3108,  88.8900,24
  85.8800,   0.4320,   0.2494,  91.3025,25
  85.3700,   0.4532,   0.2411,  91.4900,26
  87.2000,   0.4028,   0.2202,  92.1750,27
  86.1300,   0.4171,   0.2196,  92.1975,28
  86.4700,   0.4151,   0.2134,  92.4100,29
  87.9900,   0.3823,   0.1858,  93.5900,30
  87.4600,   0.3920,   0.1780,  93.8700,31
  87.7900,   0.3761,   0.1551,  94.6550,32
  86.0600,   0.4459,   0.2231,  92.0200,33
  88.3000,   0.3739,   0.1502,  94.7800,34
  88.6800,   0.3696,   0.1398,  95.1850,35
  87.6400,   0.3950,   0.1481,  94.7575,36
  89.0100,   0.3574,   0.1208,  95.9125,37
  88.4400,   0.3733,   0.1297,  95.3750,38
  88.6900,   0.3749,   0.1239,  95.7600,39
  89.1900,   0.3438,   0.0962,  96.9100,40
  88.5900,   0.3616,   0.1036,  96.3925,41
  89.3000,   0.3550,   0.0961,  96.7350,42
  88.7200,   0.3798,   0.1038,  96.3100,43
  89.8000,   0.3467,   0.0768,  97.3975,44
  89.5100,   0.3566,   0.0852,  97.1000,45
  89.0400,   0.3788,   0.0835,  97.1450,46
  89.5700,   0.3830,   0.0788,  97.2125,47
  90.1800,   0.3337,   0.0612,  98.1875,48
  90.0700,   0.3469,   0.0568,  98.2200,49
  89.8300,   0.3593,   0.0579,  98.1575,50
  89.6000,   0.3647,   0.0591,  97.9600,51
  90.3200,   0.3361,   0.0508,  98.4025,52
  90.2500,   0.3452,   0.0428,  98.6900,53
  90.0200,   0.3533,   0.0503,  98.3825,54
  90.1500,   0.3624,   0.0434,  98.5725,55
