acc_test,L_test,Loss_train,acc_train,it
  27.3100,   2.0376,   2.0320,  26.6800,0
  35.7800,   1.6828,   1.6837,  35.8750,1
  44.2500,   1.5133,   1.5273,  44.4275,2
  46.1500,   1.4630,   1.4611,  45.7000,3
  48.0200,   1.4186,   1.4310,  47.2550,4
  52.0200,   1.3522,   1.3517,  51.7375,5
  50.8300,   1.4848,   1.4089,  51.7175,6
  58.0900,   1.2011,   1.1751,  58.7150,7
  67.2300,   0.9155,   0.8990,  68.0625,8
  66.8400,   0.9333,   0.9119,  67.5800,9
  63.8200,   1.0520,   1.0362,  63.0000,10
  63.9700,   1.0124,   0.9483,  65.3825,11
  67.6600,   0.9095,   0.8708,  68.8300,12
  75.7600,   0.6936,   0.6771,  76.0125,13
  74.7900,   0.7131,   0.6811,  75.9000,14
  73.4600,   0.7347,   0.7202,  73.7250,15
  71.8200,   0.8539,   0.8018,  72.5250,16
  73.7500,   0.8069,   0.7571,  74.2700,17
  71.6000,   0.8411,   0.7878,  72.4075,18
  75.3800,   0.7339,   0.7027,  75.5050,19
  79.9200,   0.5882,   0.5359,  81.5675,20
  79.8600,   0.6007,   0.5413,  81.1200,21
  79.3500,   0.6109,   0.5546,  80.4475,22
  79.1400,   0.5980,   0.5596,  80.0550,23
  79.1700,   0.6122,   0.5661,  80.5600,24
  80.5400,   0.5715,   0.4830,  83.0975,25
  80.2500,   0.5717,   0.5033,  82.3775,26
  80.8500,   0.5565,   0.4916,  82.8625,27
  82.6500,   0.5028,   0.4336,  84.7825,28
  83.5000,   0.4750,   0.4103,  85.6850,29
  79.4500,   0.6022,   0.5087,  82.1200,30
  83.6200,   0.4749,   0.3857,  86.7225,31
  81.3500,   0.5460,   0.4616,  83.8175,32
  84.6000,   0.4581,   0.3858,  86.7200,33
  84.3500,   0.4823,   0.3944,  86.2575,34
  84.4700,   0.4637,   0.3647,  87.2225,35
  80.5900,   0.5764,   0.4602,  83.8800,36
  82.4600,   0.5192,   0.4049,  85.5500,37
  82.4000,   0.5380,   0.3845,  86.1375,38
  73.7800,   0.8548,   0.7443,  75.4800,39
  82.4100,   0.5377,   0.4018,  85.9675,40
  85.4200,   0.4256,   0.3253,  88.6300,41
  83.7900,   0.4880,   0.3679,  86.9700,42
  84.7100,   0.4510,   0.3335,  88.0300,43
  85.9300,   0.4037,   0.2834,  90.0175,44
  84.0300,   0.4672,   0.3341,  88.0000,45
  86.1500,   0.4148,   0.3022,  89.4750,46
  86.5900,   0.4114,   0.2874,  89.8350,47
  84.1600,   0.4967,   0.3368,  88.1100,48
  84.1200,   0.4898,   0.3360,  87.8000,49
  85.1100,   0.4534,   0.3107,  88.9175,50
  86.6400,   0.4037,   0.2582,  90.9175,51
  87.6900,   0.3931,   0.2454,  91.3875,52
  87.5600,   0.3800,   0.2422,  91.3300,53
  87.4500,   0.3952,   0.2534,  91.0750,54
  88.2200,   0.3604,   0.2214,  92.3075,55
  86.6800,   0.4148,   0.2713,  90.3300,56
  86.1400,   0.4331,   0.2710,  90.2350,57
  88.3900,   0.3607,   0.2162,  92.4875,58
  87.3000,   0.3824,   0.2113,  92.4075,59
  87.7000,   0.3862,   0.2035,  92.8000,60
  87.0800,   0.4027,   0.2287,  92.1725,61
  88.0700,   0.3655,   0.2062,  92.7200,62
  87.9500,   0.3689,   0.1994,  93.0275,63
  87.8100,   0.3832,   0.2058,  92.5800,64
  87.3500,   0.4002,   0.2124,  92.3100,65
  83.6900,   0.5545,   0.3402,  88.6650,66
  89.8500,   0.3203,   0.1434,  95.0425,67
  89.6900,   0.3259,   0.1451,  94.9825,68
  89.1800,   0.3465,   0.1486,  94.6900,69
  87.7800,   0.3817,   0.1831,  93.6100,70
  88.3600,   0.3899,   0.1887,  93.2350,71
  89.4500,   0.3593,   0.1498,  94.7850,72
  89.5600,   0.3375,   0.1243,  95.6250,73
  89.6900,   0.3172,   0.1263,  95.5925,74
  88.3300,   0.3787,   0.1659,  94.3750,75
  89.1300,   0.3636,   0.1431,  94.9775,76
  89.9100,   0.3290,   0.1145,  95.9750,77
  86.5700,   0.4774,   0.2150,  92.5700,78
  90.0200,   0.3344,   0.1110,  96.2225,79
  89.5700,   0.3358,   0.1092,  96.1575,80
  90.2700,   0.3390,   0.1015,  96.4450,81
  89.4100,   0.3760,   0.1257,  95.1900,82
  89.9800,   0.3273,   0.0947,  96.6475,83
  90.7300,   0.3178,   0.0822,  97.2425,84
  89.7600,   0.3557,   0.1024,  96.2100,85
  90.0300,   0.3394,   0.0936,  96.5850,86
  90.3100,   0.3356,   0.0831,  97.1350,87
  90.3700,   0.3391,   0.0766,  97.4600,88
  89.8500,   0.3674,   0.0900,  96.7400,89
  90.3200,   0.3471,   0.0901,  96.7675,90
  90.2900,   0.3388,   0.0762,  97.3250,91
  90.5200,   0.3267,   0.0679,  97.6900,92
  89.9000,   0.3796,   0.0914,  96.6600,93
  90.7800,   0.3324,   0.0622,  97.9000,94
  90.2400,   0.3602,   0.0724,  97.4600,95
  91.1100,   0.3258,   0.0527,  98.2400,96
  90.8500,   0.3516,   0.0582,  97.9650,97
  91.0400,   0.3476,   0.0573,  97.9325,98
  90.7700,   0.3601,   0.0579,  98.0000,99
  90.4800,   0.3709,   0.0646,  97.8700,100
  90.5700,   0.3677,   0.0590,  97.8925,101
  88.4800,   0.4616,   0.1065,  95.9200,102
  90.6000,   0.3719,   0.0541,  98.0925,103
  91.0200,   0.3557,   0.0438,  98.5225,104
  91.3100,   0.3509,   0.0449,  98.3750,105
