acc_test,L_test,Loss_train,acc_train,it
  38.2800,   1.8832,   1.8212,  38.5300,0
  42.4500,   1.8877,   1.7639,  42.4450,1
  49.1200,   1.6669,   1.5468,  49.7000,2
  53.3300,   1.4467,   1.3437,  53.8650,3
  51.2700,   1.9485,   1.8030,  50.2825,4
  59.9100,   1.3398,   1.2488,  60.2950,5
  66.2400,   1.0487,   0.9887,  66.3975,6
  67.0900,   1.0486,   1.0016,  67.3625,7
  70.0400,   0.9780,   0.9180,  70.8925,8
  69.0600,   1.0037,   0.8718,  71.1925,9
  71.8900,   0.8825,   0.7703,  73.9775,10
  72.6000,   0.8994,   0.7485,  74.7925,11
  67.4900,   1.1465,   0.9700,  70.1175,12
  76.9100,   0.6981,   0.6039,  79.2100,13
  76.6200,   0.6933,   0.5512,  80.7725,14
  79.3900,   0.6534,   0.5212,  81.9775,15
  80.4300,   0.5825,   0.4751,  83.4325,16
  80.0100,   0.6017,   0.4430,  84.5725,17
  81.1100,   0.5715,   0.4045,  85.9575,18
  77.7100,   0.6922,   0.5106,  82.1825,19
  83.8200,   0.4975,   0.3261,  88.6150,20
  84.2000,   0.4824,   0.3172,  88.9125,21
  83.6800,   0.5211,   0.3483,  88.0050,22
  82.7100,   0.5727,   0.3764,  87.1025,23
  85.4200,   0.4329,   0.2613,  91.0525,24
  85.7100,   0.4376,   0.2508,  91.2275,25
  85.4100,   0.4512,   0.2539,  91.0925,26
  85.7800,   0.4252,   0.2265,  91.9675,27
  85.9500,   0.4228,   0.2111,  92.6350,28
  87.2100,   0.3973,   0.1843,  93.7000,29
  86.9900,   0.4179,   0.1746,  93.9075,30
  87.7500,   0.3812,   0.1506,  94.9250,31
  87.5800,   0.3938,   0.1586,  94.4625,32
  88.0000,   0.3814,   0.1422,  95.1525,33
  86.0600,   0.4600,   0.1755,  93.4750,34
  88.0300,   0.3793,   0.1235,  95.7950,35
  88.8500,   0.3598,   0.1098,  96.4150,36
  88.8700,   0.3558,   0.0938,  96.8700,37
  88.2900,   0.3980,   0.1099,  96.1575,38
  88.5000,   0.3799,   0.0983,  96.6825,39
  89.2500,   0.3613,   0.0839,  97.2500,40
  88.1800,   0.3943,   0.1014,  96.5650,41
  89.4100,   0.3639,   0.0645,  97.9225,42
  89.4400,   0.3710,   0.0696,  97.7900,43
  88.3200,   0.4119,   0.0915,  96.7200,44
  89.0900,   0.3836,   0.0670,  97.7750,45
  89.1500,   0.3795,   0.0605,  98.0325,46
  89.6200,   0.3757,   0.0545,  98.3000,47
  89.6500,   0.3575,   0.0510,  98.5000,48
  89.8800,   0.3706,   0.0429,  98.6975,49
  89.5300,   0.3747,   0.0454,  98.5675,50
  89.7800,   0.3711,   0.0411,  98.6800,51
  90.0000,   0.3493,   0.0418,  98.7550,52
  89.9400,   0.3634,   0.0351,  98.9725,53
  89.7600,   0.3648,   0.0372,  98.8325,54
  90.1700,   0.3778,   0.0331,  98.9975,55
  90.4200,   0.3726,   0.0294,  99.0925,56
  90.2600,   0.3664,   0.0290,  99.1250,57
  90.0800,   0.3628,   0.0274,  99.2400,58
  90.7200,   0.3564,   0.0199,  99.4950,59
  90.4000,   0.3603,   0.0286,  99.1875,60
  90.5400,   0.3676,   0.0226,  99.3750,61
  90.8800,   0.3509,   0.0220,  99.4425,62
  90.4900,   0.3861,   0.0287,  99.1600,63
  90.6000,   0.3666,   0.0179,  99.5350,64
  90.9800,   0.3657,   0.0164,  99.5800,65
  91.3500,   0.3588,   0.0139,  99.6975,66
  90.8900,   0.3836,   0.0174,  99.5400,67
  90.9700,   0.3846,   0.0194,  99.4425,68
  90.7000,   0.3826,   0.0151,  99.5950,69
  91.0300,   0.3800,   0.0109,  99.7350,70
  90.7900,   0.3919,   0.0150,  99.5775,71
  91.0700,   0.3860,   0.0099,  99.8075,72
  91.1600,   0.3823,   0.0116,  99.7100,73
  90.6400,   0.4080,   0.0136,  99.5800,74
  91.1200,   0.4044,   0.0092,  99.7775,75
  91.0300,   0.3906,   0.0148,  99.5700,76
  90.6800,   0.3999,   0.0157,  99.5875,77
  91.0000,   0.3867,   0.0133,  99.6550,78
  91.1000,   0.3929,   0.0103,  99.7250,79
  91.0900,   0.3985,   0.0101,  99.7800,80
  91.0500,   0.4024,   0.0081,  99.8150,81
