acc_test,L_test,Loss_train,acc_train,it
  31.0100,   2.2811,   2.2514,  31.5775,0
  49.5400,   1.4521,   1.3778,  51.2400,1
  44.8500,   2.0504,   1.9068,  46.9600,2
  56.0900,   1.4590,   1.1869,  61.4475,3
  54.4100,   1.6450,   1.2394,  61.1675,4
  63.6800,   1.0971,   0.6538,  76.6450,5
  67.9600,   0.9712,   0.4517,  83.5075,6
  71.2900,   0.8679,   0.3148,  89.4150,7
  71.8100,   0.9381,   0.3054,  89.1800,8
  75.3400,   0.8209,   0.1377,  95.6550,9
  74.4200,   0.9400,   0.1450,  94.8450,10
  78.8100,   0.7596,   0.0364,  99.2225,11
  79.5700,   0.7574,   0.0183,  99.7400,12
  80.3200,   0.7823,   0.0136,  99.7775,13
  79.8200,   0.8014,   0.0095,  99.8625,14
  79.5700,   0.8405,   0.0132,  99.7400,15
  79.9000,   0.8652,   0.0098,  99.7950,16
  80.2100,   0.9071,   0.0169,  99.5350,17
  80.7200,   0.8538,   0.0031,  99.9550,18
  80.9900,   0.8462,   0.0017,  99.9975,19
  80.7500,   0.8623,   0.0023,  99.9775,20
  80.6900,   0.8896,   0.0013, 100.0000,21
  81.4600,   0.8748,   0.0006, 100.0000,22
  81.4800,   0.8752,   0.0003, 100.0000,23
  81.7600,   0.8756,   0.0002, 100.0000,24
  81.8200,   0.8790,   0.0002, 100.0000,25
  81.7900,   0.8850,   0.0001, 100.0000,26
  81.8400,   0.8903,   0.0001, 100.0000,27
  81.7800,   0.8951,   0.0001, 100.0000,28
  81.8500,   0.8972,   0.0001, 100.0000,29
  81.8700,   0.9047,   0.0001, 100.0000,30
  81.8900,   0.9089,   0.0001, 100.0000,31
  81.7900,   0.9118,   0.0001, 100.0000,32
  81.8500,   0.9154,   0.0001, 100.0000,33
  81.9100,   0.9150,   0.0001, 100.0000,34
  81.9100,   0.9152,   0.0001, 100.0000,35
  81.8100,   0.9183,   0.0001, 100.0000,36
  81.7900,   0.9232,   0.0001, 100.0000,37
  81.7200,   0.9254,   0.0001, 100.0000,38
  81.8400,   0.9252,   0.0001, 100.0000,39
  81.8500,   0.9276,   0.0001, 100.0000,40
  81.7000,   0.9303,   0.0001, 100.0000,41
  81.7500,   0.9294,   0.0001, 100.0000,42
  81.9700,   0.9314,   0.0001, 100.0000,43
