acc_test,L_test,Loss_train,acc_train,it
  37.9800,   1.9501,   1.9321,  37.8175,0
  48.5000,   1.6672,   1.6917,  46.5225,1
  45.7200,   2.1366,   1.8616,  46.4825,2
  49.4100,   1.9381,   1.8007,  49.5800,3
  54.5200,   1.7089,   1.6095,  54.8625,4
  56.4300,   1.6555,   1.5910,  55.8100,5
  54.9600,   1.5598,   1.4057,  56.5375,6
  61.9900,   1.4993,   1.3205,  62.8600,7
  59.8300,   1.6545,   1.4084,  62.2350,8
  70.9000,   0.9238,   0.7949,  73.2575,9
  69.1200,   1.0301,   0.8241,  72.4425,10
  66.5700,   1.1714,   0.9867,  68.5150,11
  75.4800,   0.7867,   0.6560,  77.4500,12
  78.5300,   0.6623,   0.5243,  81.9500,13
  78.2800,   0.6703,   0.5108,  82.0100,14
  79.3300,   0.6421,   0.4762,  83.3425,15
  81.1700,   0.5617,   0.3808,  86.8025,16
  80.8700,   0.5926,   0.4021,  85.6050,17
  81.6600,   0.5601,   0.3387,  88.0375,18
  83.5600,   0.4905,   0.2983,  89.6125,19
  82.5900,   0.5256,   0.2885,  89.6575,20
  83.6100,   0.5041,   0.2755,  90.1775,21
  85.7700,   0.4474,   0.2081,  92.7575,22
  85.9100,   0.4435,   0.2064,  92.7675,23
  85.9400,   0.4522,   0.1863,  93.5350,24
  85.8000,   0.4484,   0.1693,  94.0725,25
  86.2800,   0.4385,   0.1770,  93.8900,26
  87.4600,   0.4079,   0.1463,  95.0275,27
  87.7000,   0.4022,   0.1222,  95.8175,28
  87.4600,   0.4181,   0.1199,  95.8650,29
  88.0100,   0.4036,   0.1081,  96.2950,30
  88.3200,   0.3960,   0.0955,  96.8425,31
  88.6500,   0.3906,   0.0879,  97.0100,32
  88.1300,   0.4157,   0.0943,  96.7600,33
  88.6000,   0.4077,   0.0670,  97.7825,34
  87.9700,   0.4321,   0.0842,  97.0850,35
  87.8100,   0.4616,   0.0861,  97.0500,36
  87.7900,   0.4652,   0.1011,  96.5725,37
  89.1300,   0.4117,   0.0505,  98.3800,38
  89.1700,   0.4017,   0.0554,  98.1525,39
  89.7300,   0.3928,   0.0440,  98.5950,40
