acc_test,L_test,Loss_train,acc_train,it
  31.8600,   1.8081,   1.8070,  31.4100,0
  31.4500,   2.6095,   2.5805,  30.9400,1
  53.8300,   1.2803,   1.3062,  52.6525,2
  54.8300,   1.3358,   1.3529,  54.1050,3
  60.7500,   1.1430,   1.1848,  58.5550,4
  59.7600,   1.1454,   1.1495,  59.6300,5
  65.6400,   1.0348,   1.0333,  64.4975,6
  61.0500,   1.2892,   1.2804,  60.2675,7
  68.0600,   0.9967,   0.9622,  67.8075,8
  70.6500,   0.8920,   0.8127,  71.6175,9
  69.6900,   0.9035,   0.8191,  71.1650,10
  72.9900,   0.7878,   0.7298,  74.3475,11
  71.1300,   0.9078,   0.8272,  72.2125,12
  72.5800,   0.8602,   0.7690,  74.0575,13
  77.1300,   0.7280,   0.6638,  77.4450,14
  76.3100,   0.7372,   0.6608,  77.7600,15
  77.4000,   0.6834,   0.5899,  79.4550,16
  76.1300,   0.7313,   0.6185,  78.5400,17
  77.5500,   0.7186,   0.5651,  80.4650,18
  80.1000,   0.6263,   0.5215,  81.8900,19
  80.6200,   0.6277,   0.5035,  82.4875,20
  79.5600,   0.6561,   0.5259,  82.0050,21
  79.8400,   0.7318,   0.6007,  81.9275,22
  81.0100,   0.5839,   0.4438,  84.5675,23
  81.1600,   0.5824,   0.4470,  84.3250,24
  82.6800,   0.5416,   0.3892,  86.4150,25
  83.6900,   0.5115,   0.3771,  86.8950,26
  81.6900,   0.6032,   0.4460,  84.6600,27
  80.8400,   0.6225,   0.4402,  84.5750,28
  84.0900,   0.5154,   0.3552,  87.6150,29
  85.8800,   0.4555,   0.3044,  89.5100,30
  84.3600,   0.5038,   0.3431,  88.0300,31
  84.2200,   0.4965,   0.3423,  87.8875,32
  84.8600,   0.4866,   0.3258,  88.7075,33
  86.0500,   0.4464,   0.2709,  90.2750,34
  85.6800,   0.4880,   0.2876,  90.0125,35
  85.0700,   0.4802,   0.2913,  89.7375,36
  86.6800,   0.4279,   0.2407,  91.4675,37
  84.9600,   0.4995,   0.2942,  89.5600,38
  87.2500,   0.4209,   0.2410,  91.4525,39
  87.3900,   0.4084,   0.2116,  92.4400,40
  87.3000,   0.4032,   0.2150,  92.4050,41
  86.1100,   0.4589,   0.2275,  91.8725,42
  87.1500,   0.4190,   0.2037,  92.7225,43
  85.8900,   0.4695,   0.2228,  91.7350,44
  86.8000,   0.4389,   0.2045,  92.6525,45
  86.4400,   0.4733,   0.2019,  92.5450,46
  86.3900,   0.4538,   0.1957,  92.7925,47
  87.6400,   0.4180,   0.1604,  94.3025,48
  88.0300,   0.4017,   0.1570,  94.3000,49
  87.5100,   0.4260,   0.1866,  93.4100,50
  88.8300,   0.3874,   0.1412,  94.9100,51
  88.7000,   0.3787,   0.1416,  94.9400,52
  87.4400,   0.4350,   0.1523,  94.4025,53
  86.9800,   0.4761,   0.1892,  93.0475,54
  87.1600,   0.4403,   0.1870,  93.3500,55
  88.7400,   0.3948,   0.1137,  96.0275,56
  87.3900,   0.4720,   0.1653,  94.0750,57
  89.2800,   0.3763,   0.0954,  96.6650,58
  89.5700,   0.3807,   0.1025,  96.2450,59
  89.5300,   0.3573,   0.0976,  96.6325,60
  89.2700,   0.3860,   0.0879,  96.8125,61
  89.8600,   0.3460,   0.0851,  96.9875,62
  89.7000,   0.3572,   0.0788,  97.2900,63
  89.4600,   0.3643,   0.0764,  97.2925,64
  90.0400,   0.3642,   0.0729,  97.4275,65
  89.3000,   0.4160,   0.1171,  95.8100,66
  90.0800,   0.3476,   0.0607,  97.9650,67
  90.3500,   0.3599,   0.0660,  97.7075,68
  90.3200,   0.3443,   0.0643,  97.7650,69
