acc_test,L_test,Loss_train,acc_train,it
  26.1100,   2.2129,   2.2081,  25.0375,0
  44.6500,   1.5741,   1.5990,  44.0750,1
  39.1500,   1.9664,   1.8462,  39.7975,2
  52.5400,   1.5124,   1.4392,  52.1375,3
  64.4200,   1.1375,   1.0977,  63.7975,4
  56.9500,   1.5322,   1.4366,  56.5875,5
  64.3900,   1.1096,   1.0136,  65.8875,6
  71.3900,   0.8736,   0.8339,  72.0850,7
  66.4800,   1.1571,   0.9733,  69.5625,8
  65.8200,   1.1750,   1.0651,  66.2800,9
  65.4900,   1.2296,   1.1292,  65.9475,10
  70.9100,   0.9715,   0.8320,  72.8250,11
  65.3700,   1.2147,   1.0513,  66.9150,12
  73.4100,   0.8649,   0.7014,  76.3525,13
  77.0000,   0.7249,   0.6271,  78.6000,14
  78.0600,   0.6983,   0.5697,  80.5725,15
  77.8500,   0.7141,   0.5273,  81.7575,16
  80.0600,   0.6166,   0.4627,  83.7150,17
  80.6600,   0.5917,   0.4452,  84.5775,18
  79.4100,   0.6897,   0.4829,  83.4275,19
  83.2400,   0.5297,   0.3866,  86.4550,20
  83.1700,   0.5147,   0.3554,  87.4525,21
  83.6200,   0.4906,   0.3385,  87.9875,22
  80.6400,   0.6294,   0.4043,  85.8850,23
  83.7000,   0.5066,   0.3026,  89.2200,24
  86.2800,   0.4212,   0.2416,  91.4825,25
  85.2200,   0.4670,   0.2613,  90.6925,26
  85.8700,   0.4418,   0.2358,  91.7200,27
  85.4400,   0.4553,   0.2357,  91.4725,28
  86.7600,   0.4159,   0.2005,  93.0000,29
  86.7400,   0.4157,   0.2042,  93.0275,30
  86.6200,   0.4247,   0.2014,  92.8800,31
  87.3900,   0.4026,   0.1672,  94.2150,32
  87.9300,   0.3838,   0.1588,  94.4500,33
  88.4900,   0.3941,   0.1456,  94.9100,34
  88.5000,   0.3764,   0.1360,  95.3275,35
  88.2700,   0.3814,   0.1395,  95.1425,36
  87.8100,   0.4105,   0.1506,  94.8100,37
  88.3900,   0.3705,   0.1286,  95.7075,38
  88.9300,   0.3768,   0.1112,  96.1425,39
  88.3000,   0.3904,   0.1126,  96.0925,40
  88.9300,   0.3719,   0.1139,  95.9600,41
  86.2800,   0.4860,   0.1793,  93.6775,42
  88.7400,   0.3914,   0.1091,  96.1250,43
  88.1500,   0.4242,   0.1111,  96.0700,44
  89.0700,   0.3638,   0.0875,  97.0750,45
  87.8200,   0.4308,   0.1113,  95.8050,46
  89.4800,   0.3726,   0.0755,  97.4275,47
  90.1300,   0.3378,   0.0579,  98.1800,48
  90.0900,   0.3467,   0.0568,  98.2375,49
  89.4300,   0.3607,   0.0619,  97.8650,50
  90.0500,   0.3519,   0.0602,  97.9125,51
  90.0800,   0.3538,   0.0567,  98.1575,52
  89.8800,   0.3626,   0.0529,  98.2800,53
  89.7900,   0.3721,   0.0554,  98.1875,54
  90.2300,   0.3620,   0.0481,  98.3950,55
  89.8000,   0.3939,   0.0600,  97.9025,56
  91.0700,   0.3374,   0.0367,  98.8175,57
  90.5700,   0.3450,   0.0358,  98.9150,58
  90.4400,   0.3568,   0.0327,  99.0425,59
  90.6200,   0.3732,   0.0375,  98.7600,60
  90.8800,   0.3572,   0.0284,  99.0600,61
  91.2600,   0.3378,   0.0258,  99.3000,62
  90.6800,   0.3698,   0.0310,  99.1050,63
  90.6300,   0.3786,   0.0282,  99.1550,64
  91.2900,   0.3509,   0.0209,  99.4425,65
  91.2900,   0.3496,   0.0203,  99.4400,66
  90.9100,   0.3714,   0.0246,  99.2875,67
  91.3200,   0.3565,   0.0211,  99.4050,68
