acc_test,L_test,Loss_train,acc_train,it
  32.9700,   1.8306,   1.8214,  33.0025,0
  43.0100,   1.6151,   1.6554,  41.7750,1
  52.0000,   1.3087,   1.3225,  51.7150,2
  56.6700,   1.2367,   1.2738,  55.1150,3
  60.1300,   1.1977,   1.1750,  59.9975,4
  57.8900,   1.2799,   1.2808,  57.8125,5
  60.6200,   1.2077,   1.1179,  61.6775,6
  64.0500,   1.0942,   1.0717,  63.4550,7
  66.5700,   1.0003,   0.9655,  67.3000,8
  71.2500,   0.8809,   0.8649,  70.2425,9
  68.4600,   0.9821,   0.8989,  69.4950,10
  70.8600,   0.8920,   0.7863,  73.0675,11
  73.0000,   0.8497,   0.7833,  73.4750,12
  74.8600,   0.7367,   0.6890,  76.0375,13
  72.9900,   0.8676,   0.8097,  73.5025,14
  77.4100,   0.7026,   0.6375,  78.3275,15
  75.3800,   0.7562,   0.6842,  76.4400,16
  79.2700,   0.6162,   0.5368,  81.4050,17
  78.7300,   0.6481,   0.5421,  81.1825,18
  74.7200,   0.8672,   0.7738,  75.4850,19
  81.1900,   0.5701,   0.4779,  83.3825,20
  82.2300,   0.5379,   0.4394,  84.5325,21
  81.3800,   0.5624,   0.4646,  83.9575,22
  81.6300,   0.5719,   0.4452,  84.5200,23
  75.7200,   0.7797,   0.6035,  79.2575,24
  79.3600,   0.7149,   0.5134,  82.8950,25
  83.0700,   0.5310,   0.4289,  85.1250,26
  83.9600,   0.5215,   0.3770,  86.6350,27
  80.1600,   0.6628,   0.4663,  83.7825,28
  80.8500,   0.6324,   0.4306,  85.0750,29
  84.1600,   0.4874,   0.3371,  88.1100,30
  84.4200,   0.5137,   0.3305,  88.5500,31
  84.7300,   0.4737,   0.3169,  88.8425,32
  84.6900,   0.4756,   0.3220,  88.8425,33
  85.1100,   0.4835,   0.2890,  89.7425,34
  83.5100,   0.5569,   0.3473,  88.2600,35
  84.8900,   0.5015,   0.3120,  89.2450,36
  84.6400,   0.5079,   0.3210,  88.8825,37
  84.8300,   0.5006,   0.2986,  89.4700,38
  86.7200,   0.4316,   0.2455,  91.3850,39
  86.5200,   0.4729,   0.2449,  91.4650,40
  86.1500,   0.4537,   0.2447,  91.2500,41
  86.2700,   0.4731,   0.2378,  91.5375,42
  87.4400,   0.4082,   0.1910,  93.1925,43
  86.9900,   0.4477,   0.2135,  92.3825,44
  85.0200,   0.5363,   0.2970,  89.7750,45
  86.9600,   0.4702,   0.2062,  92.5325,46
  87.5300,   0.4239,   0.1864,  93.3425,47
  88.4700,   0.4020,   0.1587,  94.4325,48
  88.2700,   0.3898,   0.1446,  94.8600,49
  87.8100,   0.4178,   0.1646,  94.0500,50
  88.9000,   0.3713,   0.1386,  95.0275,51
  87.9000,   0.4459,   0.1672,  93.9875,52
  88.3000,   0.4078,   0.1419,  94.8725,53
  88.3800,   0.3954,   0.1300,  95.3525,54
  84.9600,   0.5639,   0.2916,  90.3925,55
  88.7000,   0.4015,   0.1201,  95.6575,56
  88.1400,   0.4161,   0.1279,  95.3500,57
  89.1600,   0.3756,   0.0957,  96.6125,58
  89.2100,   0.3640,   0.0980,  96.5450,59
  89.1700,   0.3777,   0.0991,  96.4625,60
  89.4100,   0.4011,   0.0924,  96.6800,61
  88.5900,   0.4072,   0.0917,  96.7225,62
  89.4900,   0.3709,   0.0748,  97.3800,63
  89.6900,   0.3571,   0.0776,  97.2775,64
  88.4000,   0.4315,   0.1118,  95.7725,65
  89.2300,   0.4041,   0.1055,  96.0900,66
  89.6600,   0.4013,   0.0796,  97.1700,67
  89.7500,   0.3832,   0.0659,  97.7550,68
  89.8900,   0.3752,   0.0620,  97.9250,69
  90.0800,   0.3666,   0.0586,  97.9025,70
  89.9000,   0.3855,   0.0635,  97.7175,71
  89.9900,   0.3718,   0.0583,  98.1100,72
  90.2800,   0.3644,   0.0533,  98.2200,73
  90.6000,   0.3521,   0.0520,  98.2275,74
  90.2200,   0.3731,   0.0552,  98.1025,75
  90.3400,   0.3632,   0.0502,  98.2925,76
  90.4100,   0.3540,   0.0431,  98.5550,77
  89.5600,   0.4203,   0.0677,  97.4400,78
  90.7700,   0.3468,   0.0366,  98.7750,79
  90.5500,   0.3746,   0.0423,  98.4575,80
  90.9000,   0.3616,   0.0334,  98.9450,81
  90.9200,   0.3531,   0.0304,  99.0125,82
  91.1600,   0.3482,   0.0278,  99.1125,83
  90.8300,   0.3536,   0.0328,  98.9075,84
  91.1000,   0.3635,   0.0269,  99.1575,85
  91.0000,   0.3583,   0.0276,  99.1550,86
  90.9400,   0.3469,   0.0241,  99.2525,87
  91.1900,   0.3586,   0.0232,  99.3100,88
  90.8000,   0.3716,   0.0278,  99.1325,89
  91.3500,   0.3543,   0.0187,  99.4300,90
  91.5800,   0.3588,   0.0220,  99.3075,91
  91.3300,   0.3651,   0.0204,  99.3400,92
  91.5900,   0.3600,   0.0171,  99.4850,93
  91.4800,   0.3679,   0.0155,  99.5800,94
  91.0800,   0.3805,   0.0149,  99.5450,95
  91.1700,   0.3901,   0.0193,  99.4150,96
  91.1400,   0.3743,   0.0164,  99.5575,97
  91.6000,   0.3584,   0.0118,  99.7100,98
  91.5800,   0.3610,   0.0123,  99.6525,99
  91.4600,   0.3613,   0.0120,  99.6925,100
  91.4800,   0.3744,   0.0125,  99.6725,101
  91.6100,   0.3793,   0.0100,  99.7725,102
  91.3800,   0.3784,   0.0098,  99.7700,103
  91.6300,   0.3666,   0.0088,  99.7875,104
  91.7900,   0.3689,   0.0088,  99.7925,105
  91.8600,   0.3666,   0.0083,  99.8000,106
  91.5800,   0.3708,   0.0083,  99.8175,107
  91.6800,   0.3822,   0.0085,  99.8050,108
  91.9600,   0.3694,   0.0066,  99.8875,109
  91.8000,   0.3871,   0.0086,  99.7675,110
  91.6700,   0.3774,   0.0076,  99.8250,111
  91.5700,   0.3742,   0.0054,  99.8975,112
  91.7900,   0.3820,   0.0060,  99.8675,113
  92.0200,   0.3781,   0.0053,  99.8975,114
  92.1700,   0.3736,   0.0047,  99.9150,115
  91.8800,   0.3784,   0.0058,  99.8850,116
  92.0800,   0.3772,   0.0048,  99.9000,117
  91.8300,   0.3969,   0.0056,  99.8600,118
  91.9300,   0.3911,   0.0049,  99.9200,119
  91.9200,   0.3839,   0.0039,  99.9275,120
  91.8500,   0.3868,   0.0046,  99.9075,121
  92.0900,   0.3865,   0.0036,  99.9400,122
  92.2200,   0.3954,   0.0037,  99.9350,123
  92.0200,   0.3944,   0.0035,  99.9475,124
  92.0400,   0.3890,   0.0030,  99.9575,125
  92.1000,   0.3895,   0.0030,  99.9500,126
