acc_test,L_test,Loss_train,acc_train,it
  37.9800,   1.9501,   1.9321,  37.8175,0
  43.9100,   1.9449,   1.9097,  42.8025,1
  46.5200,   1.8863,   1.7888,  45.6725,2
  44.8400,   2.5118,   2.2553,  45.5150,3
  44.4000,   2.3702,   2.2232,  43.9825,4
  58.8000,   1.4397,   1.3128,  59.8800,5
  62.5800,   1.3058,   1.2194,  62.8775,6
  63.1900,   1.2603,   1.0602,  65.7425,7
  55.1600,   1.8707,   1.5263,  58.5800,8
  72.1300,   0.8750,   0.7215,  75.4550,9
  69.6900,   1.0113,   0.8364,  72.7425,10
  68.8800,   1.0708,   0.8412,  72.3875,11
  72.7500,   0.9057,   0.7475,  75.9425,12
  78.6900,   0.6368,   0.4959,  82.5950,13
  78.3400,   0.6553,   0.4903,  82.9275,14
  81.1100,   0.5695,   0.3896,  86.4150,15
  82.0600,   0.5441,   0.3686,  87.1650,16
  80.0000,   0.6098,   0.3975,  86.0625,17
  83.3100,   0.5056,   0.3109,  88.9925,18
  82.3600,   0.5402,   0.3127,  89.0275,19
  83.3600,   0.5103,   0.2902,  89.7275,20
  82.8000,   0.5337,   0.2904,  89.8825,21
  84.8300,   0.4772,   0.2580,  90.8775,22
  85.4300,   0.4580,   0.2160,  92.5100,23
  86.5800,   0.4278,   0.1739,  94.0075,24
  86.5400,   0.4265,   0.1688,  94.2700,25
  86.0200,   0.4399,   0.1643,  94.3525,26
  86.6700,   0.4270,   0.1468,  94.8400,27
  87.5100,   0.4110,   0.1318,  95.4600,28
  87.0200,   0.4252,   0.1324,  95.4950,29
  87.4400,   0.4229,   0.1169,  95.9975,30
  88.1100,   0.3934,   0.1004,  96.6825,31
  87.9000,   0.4112,   0.1016,  96.5300,32
  87.4000,   0.4400,   0.1025,  96.5250,33
  88.0600,   0.4359,   0.0849,  97.1125,34
  89.0900,   0.3798,   0.0584,  98.1000,35
  87.4300,   0.4727,   0.1080,  96.0800,36
  89.2200,   0.3947,   0.0588,  98.0250,37
  88.1900,   0.4372,   0.0777,  97.3000,38
  89.5800,   0.3917,   0.0468,  98.5450,39
  89.6100,   0.3948,   0.0444,  98.6175,40
  89.3900,   0.4227,   0.0508,  98.3450,41
  90.1900,   0.3984,   0.0383,  98.8200,42
  89.5300,   0.4252,   0.0481,  98.3950,43
  89.4300,   0.4237,   0.0388,  98.7500,44
  88.9500,   0.4514,   0.0414,  98.5900,45
  89.4100,   0.4283,   0.0337,  98.9650,46
  89.3400,   0.4616,   0.0376,  98.7125,47
  89.8000,   0.4206,   0.0285,  99.0850,48
  90.2200,   0.4222,   0.0218,  99.3825,49
  90.2200,   0.4147,   0.0215,  99.3500,50
  89.6000,   0.4702,   0.0465,  98.3725,51
  90.2700,   0.4346,   0.0233,  99.3075,52
  90.0000,   0.4521,   0.0203,  99.3600,53
  90.4200,   0.4301,   0.0171,  99.4975,54
  90.3800,   0.4302,   0.0147,  99.5725,55
  89.8200,   0.4808,   0.0210,  99.2975,56
  90.1700,   0.4556,   0.0158,  99.5125,57
  90.4900,   0.4510,   0.0122,  99.6400,58
  89.9300,   0.4906,   0.0225,  99.2175,59
  90.5400,   0.4514,   0.0118,  99.6650,60
  90.4000,   0.4571,   0.0126,  99.5725,61
  90.6200,   0.4582,   0.0094,  99.7550,62
  90.6300,   0.4617,   0.0095,  99.7675,63
  90.4300,   0.4719,   0.0105,  99.6525,64
  90.8800,   0.4584,   0.0070,  99.8300,65
  90.8300,   0.4562,   0.0071,  99.8150,66
  90.6800,   0.4525,   0.0076,  99.7975,67
  90.9800,   0.4536,   0.0064,  99.8300,68
  91.1700,   0.4581,   0.0051,  99.8925,69
  90.9600,   0.4655,   0.0068,  99.8075,70
  90.7400,   0.4617,   0.0057,  99.8500,71
  90.9700,   0.4641,   0.0050,  99.8625,72
  90.8500,   0.4799,   0.0049,  99.8700,73
  91.0500,   0.4638,   0.0048,  99.8850,74
  90.9000,   0.4797,   0.0044,  99.9200,75
  90.8200,   0.5020,   0.0070,  99.7950,76
  90.6700,   0.4864,   0.0052,  99.8550,77
  90.8300,   0.4770,   0.0038,  99.9100,78
  90.5800,   0.4990,   0.0045,  99.8775,79
  90.7100,   0.4982,   0.0042,  99.8875,80
  90.9100,   0.4767,   0.0035,  99.9000,81
  91.1500,   0.4817,   0.0027,  99.9300,82
  90.9200,   0.4819,   0.0031,  99.9250,83
  91.1800,   0.4742,   0.0022,  99.9550,84
  91.0500,   0.4864,   0.0024,  99.9475,85
  91.0700,   0.4900,   0.0026,  99.9425,86
