acc_test,L_test,Loss_train,acc_train,it
  41.7700,   1.6373,   1.6340,  41.8900,0
  47.6400,   1.4484,   1.4330,  47.8075,1
  52.6900,   1.4362,   1.3600,  54.5400,2
  49.7200,   1.5261,   1.4268,  52.0875,3
  59.4400,   1.2462,   1.0561,  63.6250,4
  67.2600,   0.9325,   0.7400,  72.9875,5
  68.1500,   0.9807,   0.6990,  75.4250,6
  70.3200,   0.8733,   0.5815,  79.2050,7
  70.4000,   0.9351,   0.5489,  80.1200,8
  74.1400,   0.8052,   0.3710,  87.0850,9
  75.5400,   0.8049,   0.2886,  89.3425,10
  75.5800,   0.8342,   0.2744,  89.9475,11
  78.0200,   0.7398,   0.1518,  95.0250,12
  78.8900,   0.7371,   0.1082,  96.6575,13
  78.8000,   0.7341,   0.0945,  97.3100,14
  77.8300,   0.8133,   0.0996,  96.5425,15
  80.4500,   0.7678,   0.0540,  98.4050,16
  81.4500,   0.7098,   0.0309,  99.2225,17
  81.3800,   0.7031,   0.0267,  99.3950,18
  81.9300,   0.6893,   0.0131,  99.8100,19
  82.1600,   0.7058,   0.0121,  99.8275,20
  81.8500,   0.7250,   0.0132,  99.7925,21
  82.0800,   0.7230,   0.0098,  99.8350,22
  82.9000,   0.7070,   0.0034,  99.9700,23
  83.1700,   0.6929,   0.0026,  99.9650,24
  82.3200,   0.7570,   0.0045,  99.9550,25
  82.3400,   0.7521,   0.0055,  99.8975,26
  83.3600,   0.7226,   0.0015,  99.9950,27
  82.9000,   0.7488,   0.0016,  99.9875,28
  83.5500,   0.7436,   0.0006,  99.9925,29
  83.6500,   0.7444,   0.0004,  99.9950,30
  83.9100,   0.7511,   0.0003,  99.9950,31
  83.8400,   0.7590,   0.0002,  99.9975,32
  83.8200,   0.7681,   0.0002, 100.0000,33
  83.9000,   0.7654,   0.0002, 100.0000,34
  83.9200,   0.7709,   0.0001, 100.0000,35
  83.8400,   0.7739,   0.0001, 100.0000,36
  83.8500,   0.7803,   0.0001, 100.0000,37
  83.9100,   0.7842,   0.0001, 100.0000,38
  83.9500,   0.7845,   0.0001, 100.0000,39
  83.7900,   0.7920,   0.0001, 100.0000,40
  83.9100,   0.7862,   0.0001, 100.0000,41
  83.8600,   0.7932,   0.0001, 100.0000,42
  83.9300,   0.7943,   0.0001, 100.0000,43
  83.8400,   0.8027,   0.0001, 100.0000,44
  83.9800,   0.7981,   0.0001, 100.0000,45
  83.9600,   0.8007,   0.0001, 100.0000,46
  83.9800,   0.8004,   0.0001, 100.0000,47
  83.8700,   0.8095,   0.0001, 100.0000,48
  84.0000,   0.8059,   0.0001, 100.0000,49
  83.9400,   0.8059,   0.0001, 100.0000,50
  83.9600,   0.8087,   0.0001, 100.0000,51
  83.8400,   0.8096,   0.0001, 100.0000,52
  83.9300,   0.8121,   0.0000, 100.0000,53
  83.9600,   0.8168,   0.0001, 100.0000,54
