acc_test,L_test,Loss_train,acc_train,it
  38.3900,   1.8440,   1.7840,  39.7575,0
  31.8800,   5.3791,   4.9123,  34.6400,1
  20.9100,  21.9735,  19.7313,  23.0750,2
  30.8100,  14.1777,  11.7330,  35.5150,3
  26.9800,  30.5037,  23.7086,  31.6150,4
  26.1000,  21.1621,  15.7403,  30.8350,5
  29.0800,  26.0705,  18.5891,  34.7475,6
  32.1800,  12.1134,   7.2766,  39.0675,7
  26.9600,  15.9297,  10.0416,  32.9950,8
  36.8700,  12.0854,   6.0687,  46.0200,9
  42.5200,   6.9815,   2.8340,  54.5400,10
  28.9100,  17.7686,  10.1109,  37.9200,11
  38.6300,  12.0739,   5.3778,  51.1775,12
  41.4600,   4.0721,   2.6105,  49.3175,13
  39.8100,  10.4024,   4.4397,  51.9325,14
  36.9200,  12.9012,   5.2755,  50.3975,15
  37.6600,  15.2932,   6.7826,  53.8950,16
  15.6700,  21.1828,  16.6084,  17.6250,17
  38.0500,  14.7791,   5.9118,  54.3100,18
  39.1800,  11.8920,   4.6368,  54.0675,19
  36.4300,  17.1756,   8.1444,  50.3750,20
  45.8700,  10.1182,   3.0396,  61.6950,21
  42.0000,   7.4308,   2.9507,  52.4575,22
  26.9500,   8.3620,   6.0923,  34.5000,23
  46.4900,   6.3953,   2.1717,  65.3450,24
  45.8100,   7.2679,   2.1862,  65.7275,25
  48.1300,   5.1564,   1.7521,  64.2325,26
  36.4800,   7.6817,   3.7844,  54.2600,27
  33.4900,   9.4646,   4.1998,  50.6925,28
  35.9800,   8.2266,   3.1239,  53.8900,29
  44.4200,  10.8183,   4.0517,  59.6825,30
  40.0600,   6.5451,   3.3859,  49.8475,31
  40.1600,   6.5861,   3.1725,  58.2225,32
  35.6200,   6.9382,   3.0930,  50.1550,33
  32.8700,   5.2151,   3.0837,  47.3125,34
  39.6100,   4.9616,   2.4430,  57.1075,35
  51.5800,   2.5998,   0.9962,  70.5725,36
  48.5500,   3.0254,   1.1407,  69.4525,37
  48.8000,   3.5431,   1.1921,  69.9950,38
  50.9600,   2.7469,   0.8449,  75.5400,39
  50.1300,   1.8998,   0.6955,  77.5725,40
  48.8000,   2.4238,   0.9980,  69.5250,41
  46.0700,   4.1044,   0.9926,  76.4500,42
  52.8600,   1.6186,   0.5193,  82.9000,43
  54.7300,   1.8210,   0.2887,  90.6250,44
  52.2900,   1.5138,   0.3702,  89.6825,45
  50.6200,   1.5219,   0.4554,  86.8525,46
  45.5000,   1.9335,   0.5013,  83.1100,47
  53.8400,   1.8689,   0.1066,  97.2775,48
  42.9700,   2.0240,   0.6561,  77.2675,49
  53.9900,   1.7264,   0.1013,  98.1750,50
  53.7600,   1.8824,   0.0831,  98.2575,51
  56.3600,   2.0241,   0.0325,  99.3725,52
  56.4100,   1.5960,   0.0842,  98.7975,53
  57.8400,   1.9865,   0.0325,  99.4900,54
  57.1400,   1.8617,   0.0477,  99.2825,55
  57.6800,   2.1220,   0.0257,  99.6475,56
  56.7600,   1.8486,   0.0568,  99.0225,57
  57.4200,   2.0597,   0.0238,  99.7600,58
  57.7000,   2.1607,   0.0228,  99.7575,59
  57.9300,   3.7705,   0.0041,  99.9275,60
  58.7900,   5.0140,   0.0010,  99.9925,61
  59.0000,   6.0671,   0.0002, 100.0000,62
  58.6600,   6.5385,   0.0001, 100.0000,63
  59.0100,   6.5346,   0.0001, 100.0000,64
  59.2200,   6.9603,   0.0135,  99.6575,65
  58.6600,   7.0865,   0.0001, 100.0000,66
  58.9100,   7.4443,   0.0000, 100.0000,67
  58.8500,   7.4010,   0.0000, 100.0000,68
  58.9300,   7.3888,   0.0000, 100.0000,69
  59.0600,   7.8404,   0.0000, 100.0000,70
  59.1900,   7.4770,   0.0000, 100.0000,71
  59.0600,   7.8009,   0.0000, 100.0000,72
  58.9200,   8.1897,   0.0000, 100.0000,73
  58.9400,   7.8293,   0.0000, 100.0000,74
  58.9400,   7.9485,   0.0000, 100.0000,75
  58.9700,   8.3744,   0.0000, 100.0000,76
  59.1900,   7.7852,   0.0000, 100.0000,77
  59.0400,   7.8530,   0.0000, 100.0000,78
  58.8700,   8.1661,   0.0000, 100.0000,79
  58.8700,   8.0274,   0.0000, 100.0000,80
