acc_test,L_test,Loss_train,acc_train,it
  29.1300,   1.9374,   1.8981,  29.1125,0
  33.2900,   1.9276,   1.9917,  31.6650,1
  45.4600,   1.5006,   1.5071,  44.7625,2
  44.8400,   1.5168,   1.4813,  45.8875,3
  37.7700,   1.8625,   1.8161,  36.8900,4
  49.7800,   1.5631,   1.5100,  49.5400,5
  54.0900,   1.3798,   1.3034,  54.7700,6
  60.7700,   1.0961,   1.0734,  61.4275,7
  64.9600,   0.9603,   0.9429,  66.3025,8
  62.4800,   1.1291,   1.1240,  61.9775,9
  64.3100,   1.0325,   1.0467,  62.6700,10
  67.9700,   0.9296,   0.8854,  68.8200,11
  69.1900,   0.8932,   0.8484,  70.6450,12
  70.9600,   0.8274,   0.8284,  71.5825,13
  70.9900,   0.8316,   0.8244,  70.6925,14
  72.8800,   0.7565,   0.7559,  72.8350,15
  74.6600,   0.7754,   0.7538,  74.8075,16
  70.1000,   0.9255,   0.8401,  71.4925,17
  75.6200,   0.7161,   0.6664,  76.5675,18
  75.7100,   0.7086,   0.6996,  75.9275,19
  74.9300,   0.7415,   0.6884,  76.0775,20
  78.9400,   0.6246,   0.5869,  79.2050,21
  74.7500,   0.7424,   0.6864,  75.7525,22
  81.2100,   0.5590,   0.5076,  82.3225,23
  80.2200,   0.5724,   0.5344,  81.5200,24
  79.2300,   0.6864,   0.6041,  81.1575,25
  81.0200,   0.5448,   0.5037,  82.2400,26
  83.4800,   0.4975,   0.4469,  84.5850,27
  82.8700,   0.4887,   0.4334,  84.7275,28
  84.9200,   0.4450,   0.3941,  86.2375,29
  82.2300,   0.5215,   0.4436,  84.3425,30
  84.0500,   0.4972,   0.4380,  86.2125,31
  78.7000,   0.6416,   0.5443,  80.8125,32
  84.2800,   0.4752,   0.3983,  86.3900,33
  83.9800,   0.4859,   0.3957,  86.3275,34
  83.4500,   0.4863,   0.4005,  86.0025,35
  81.5700,   0.5605,   0.4373,  84.7250,36
  84.1200,   0.4669,   0.3633,  87.2425,37
  83.5100,   0.4917,   0.3769,  86.5450,38
  81.9700,   0.5586,   0.4581,  84.3925,39
  84.6200,   0.4466,   0.3458,  87.8375,40
  86.2700,   0.4058,   0.3142,  89.0875,41
  82.6200,   0.5424,   0.4256,  85.7100,42
  83.9600,   0.4927,   0.3667,  87.3150,43
  85.6800,   0.4176,   0.2922,  89.6000,44
  85.0700,   0.4540,   0.3279,  88.4200,45
  85.3600,   0.4291,   0.3024,  88.9925,46
  86.0900,   0.4250,   0.2941,  89.5250,47
  86.0800,   0.4187,   0.2862,  89.7900,48
  85.6100,   0.4270,   0.3105,  88.7900,49
  85.3000,   0.4383,   0.3063,  89.1675,50
  85.4800,   0.4399,   0.3012,  88.9300,51
  86.5100,   0.4218,   0.2705,  90.2700,52
  87.7200,   0.3728,   0.2470,  91.1375,53
  86.2300,   0.4388,   0.2787,  90.2325,54
  88.3300,   0.3563,   0.2093,  92.8425,55
  86.7600,   0.4160,   0.2539,  91.0175,56
  85.8700,   0.4437,   0.2682,  90.2450,57
  88.3800,   0.3537,   0.2035,  93.0250,58
  88.5200,   0.3599,   0.1992,  93.0850,59
  88.1400,   0.3722,   0.1955,  93.2550,60
  86.9500,   0.4088,   0.2332,  91.3175,61
  86.9500,   0.4107,   0.2269,  92.0400,62
  87.2700,   0.4036,   0.2197,  92.1975,63
  87.7400,   0.3959,   0.2060,  92.5500,64
  88.7500,   0.3569,   0.1750,  93.8725,65
  89.1300,   0.3441,   0.1706,  94.0275,66
  88.7300,   0.3518,   0.1667,  94.0525,67
  87.9200,   0.3778,   0.1918,  92.8500,68
  89.8300,   0.3195,   0.1428,  95.1400,69
  88.2300,   0.3920,   0.1750,  93.7150,70
  89.0200,   0.3477,   0.1476,  94.7475,71
  88.9500,   0.3682,   0.1586,  94.2525,72
  89.2000,   0.3486,   0.1313,  95.2850,73
  89.7000,   0.3279,   0.1338,  95.3700,74
  89.5300,   0.3390,   0.1252,  95.6625,75
  89.9400,   0.3248,   0.1200,  95.7975,76
  89.4300,   0.3448,   0.1282,  95.4325,77
  84.3800,   0.5703,   0.3061,  89.7975,78
  89.9400,   0.3302,   0.1131,  96.0950,79
  89.3700,   0.3373,   0.1115,  96.1725,80
  89.8700,   0.3375,   0.1040,  96.3300,81
  90.2800,   0.3373,   0.1052,  96.3775,82
  90.4000,   0.3358,   0.0993,  96.4675,83
  90.2200,   0.3390,   0.0952,  96.7500,84
  89.6700,   0.3422,   0.0973,  96.5500,85
  90.2500,   0.3484,   0.0881,  96.9675,86
  89.9800,   0.3373,   0.0920,  96.7850,87
  90.3700,   0.3380,   0.0798,  97.1825,88
  90.2900,   0.3438,   0.0779,  97.3600,89
  90.1000,   0.3453,   0.0957,  96.5375,90
  90.3800,   0.3457,   0.0836,  97.0725,91
  89.5400,   0.3549,   0.0971,  96.4300,92
  89.9500,   0.3693,   0.0848,  97.0050,93
  90.5700,   0.3402,   0.0692,  97.5775,94
  90.2400,   0.3688,   0.0812,  97.0350,95
  90.7100,   0.3559,   0.0615,  97.8925,96
  91.0700,   0.3356,   0.0567,  98.1275,97
  90.9100,   0.3309,   0.0555,  98.1400,98
  90.7200,   0.3533,   0.0584,  98.0025,99
  90.1100,   0.3931,   0.0875,  96.9100,100
  90.6500,   0.3682,   0.0597,  98.0050,101
  90.4100,   0.3786,   0.0603,  97.8975,102
  89.8100,   0.4177,   0.0789,  97.3400,103
  91.1600,   0.3584,   0.0553,  98.0300,104
  90.6100,   0.3785,   0.0633,  97.6325,105
  91.0200,   0.3503,   0.0504,  98.2375,106
  91.4800,   0.3479,   0.0424,  98.5600,107
  91.0200,   0.3620,   0.0463,  98.3875,108
  90.7700,   0.3743,   0.0521,  98.2000,109
  91.1900,   0.3581,   0.0427,  98.6375,110
  91.5000,   0.3414,   0.0340,  98.8575,111
  91.0900,   0.3466,   0.0364,  98.7450,112
  91.2300,   0.3726,   0.0314,  99.0000,113
  91.2700,   0.3801,   0.0367,  98.7375,114
  91.7200,   0.3607,   0.0225,  99.2900,115
  91.5900,   0.3594,   0.0247,  99.2225,116
  91.8700,   0.3602,   0.0267,  99.1750,117
  91.6300,   0.3590,   0.0266,  99.1250,118
  91.8300,   0.3609,   0.0231,  99.3350,119
  91.8700,   0.3627,   0.0235,  99.2625,120
  91.6600,   0.3672,   0.0221,  99.3425,121
  91.9900,   0.3652,   0.0232,  99.3150,122
  92.1200,   0.3803,   0.0183,  99.4375,123
  92.1100,   0.3678,   0.0177,  99.4550,124
  91.9300,   0.3867,   0.0176,  99.4550,125
  91.7700,   0.3766,   0.0145,  99.5775,126
  91.8500,   0.3780,   0.0159,  99.5525,127
  91.9900,   0.3759,   0.0132,  99.6250,128
  91.9000,   0.3716,   0.0121,  99.6525,129
  92.0100,   0.3780,   0.0116,  99.7175,130
  91.9500,   0.3873,   0.0128,  99.6425,131
  91.9700,   0.3901,   0.0110,  99.7300,132
  92.0100,   0.3754,   0.0110,  99.7275,133
  92.2100,   0.3808,   0.0105,  99.7425,134
  91.8200,   0.3880,   0.0098,  99.7450,135
  92.1400,   0.3816,   0.0094,  99.7725,136
  91.9700,   0.3885,   0.0090,  99.7675,137
  92.3300,   0.3793,   0.0083,  99.8100,138
  92.2100,   0.3862,   0.0083,  99.7775,139
  92.0700,   0.3824,   0.0075,  99.8275,140
  92.1600,   0.3891,   0.0073,  99.8350,141
  92.2700,   0.3970,   0.0071,  99.8325,142
  92.2200,   0.3913,   0.0063,  99.8500,143
  92.3100,   0.3925,   0.0062,  99.8825,144
  92.2600,   0.3864,   0.0061,  99.8675,145
  92.0800,   0.3873,   0.0062,  99.8575,146
  92.2700,   0.3897,   0.0062,  99.8500,147
  92.1400,   0.3911,   0.0058,  99.8750,148
