acc_test,L_test,Loss_train,acc_train,it
  33.0600,   1.7996,   1.7947,  33.4150,0
  43.5500,   1.4999,   1.4916,  44.4900,1
  40.8500,   1.7400,   1.7174,  40.6550,2
  46.1000,   1.5169,   1.4729,  48.2825,3
  45.7800,   1.6295,   1.5781,  46.7900,4
  54.3000,   1.3334,   1.2811,  55.3200,5
  63.5800,   0.9990,   0.9215,  66.7800,6
  64.2700,   1.0138,   0.9254,  67.0825,7
  57.0800,   1.3759,   1.2502,  59.8850,8
  67.2400,   0.9797,   0.8425,  71.5900,9
  68.9400,   0.8710,   0.7111,  74.2825,10
  68.3200,   0.9641,   0.7877,  73.5925,11
  73.6800,   0.7604,   0.5839,  79.8550,12
  72.2400,   0.8068,   0.5937,  78.5500,13
  73.7300,   0.7803,   0.5232,  80.9750,14
  74.6800,   0.7531,   0.4567,  83.5300,15
  79.3000,   0.6045,   0.3178,  89.1725,16
  77.1700,   0.6673,   0.3505,  88.0100,17
  77.2600,   0.6933,   0.3265,  88.2575,18
  76.9800,   0.6907,   0.3103,  89.7250,19
  76.1400,   0.7488,   0.3154,  88.9425,20
  79.3000,   0.6809,   0.1905,  93.0675,21
  79.6000,   0.6253,   0.1920,  93.4425,22
  81.1900,   0.6215,   0.1189,  96.1900,23
  80.1200,   0.6630,   0.1176,  96.0550,24
  81.1700,   0.6470,   0.0862,  97.4500,25
  80.1200,   0.7592,   0.1341,  95.5200,26
  80.9900,   0.7356,   0.0877,  97.0850,27
  82.1200,   0.6449,   0.0687,  97.8875,28
  81.9000,   0.6764,   0.0550,  98.4750,29
  81.8600,   0.7042,   0.0655,  97.8350,30
  79.7100,   0.8025,   0.0910,  96.7125,31
  81.4400,   0.7011,   0.0477,  98.5375,32
  82.8300,   0.6559,   0.0246,  99.5125,33
  82.9200,   0.6715,   0.0249,  99.5000,34
  81.8200,   0.7848,   0.0509,  98.2650,35
  82.9200,   0.7291,   0.0234,  99.3900,36
  83.8100,   0.6649,   0.0093,  99.8650,37
  83.5600,   0.7039,   0.0129,  99.7525,38
  83.3900,   0.7191,   0.0160,  99.6350,39
  83.7400,   0.7191,   0.0072,  99.9025,40
  84.6100,   0.6403,   0.0050,  99.9650,41
  84.5400,   0.7137,   0.0054,  99.9225,42
  83.2200,   0.7599,   0.0160,  99.5675,43
  84.6400,   0.7205,   0.0036,  99.9500,44
  83.3000,   0.7275,   0.0108,  99.7625,45
  84.4400,   0.7025,   0.0024,  99.9925,46
  84.1300,   0.7213,   0.0024,  99.9825,47
  84.2200,   0.7367,   0.0027,  99.9525,48
  84.3200,   0.7292,   0.0027,  99.9775,49
  84.6400,   0.7265,   0.0010,  99.9950,50
  84.5200,   0.6971,   0.0016,  99.9850,51
  84.7200,   0.7326,   0.0016,  99.9900,52
  84.3500,   0.7561,   0.0020,  99.9900,53
  84.5100,   0.7712,   0.0021,  99.9625,54
  84.9100,   0.7442,   0.0013,  99.9975,55
  84.8000,   0.7316,   0.0009,  99.9975,56
  84.9000,   0.7408,   0.0008,  99.9925,57
  84.9600,   0.7483,   0.0006,  99.9925,58
  85.0200,   0.7587,   0.0008,  99.9975,59
  84.7100,   0.7805,   0.0012,  99.9800,60
  85.1000,   0.7609,   0.0006, 100.0000,61
  85.0200,   0.7667,   0.0004, 100.0000,62
  84.9600,   0.7697,   0.0004,  99.9975,63
  84.8700,   0.7625,   0.0006,  99.9950,64
  84.8800,   0.7535,   0.0005, 100.0000,65
  85.2800,   0.7594,   0.0003,  99.9975,66
  85.4100,   0.7626,   0.0002, 100.0000,67
  85.0500,   0.7644,   0.0004,  99.9975,68
  85.1800,   0.7655,   0.0002, 100.0000,69
  85.2400,   0.7732,   0.0002, 100.0000,70
  85.3100,   0.7762,   0.0001, 100.0000,71
  85.1600,   0.7819,   0.0002,  99.9975,72
  85.3100,   0.7789,   0.0001, 100.0000,73
  85.2900,   0.7769,   0.0001, 100.0000,74
  85.3600,   0.7790,   0.0001, 100.0000,75
  85.3100,   0.7810,   0.0001, 100.0000,76
  85.3800,   0.7857,   0.0001,  99.9975,77
  85.2700,   0.7885,   0.0001, 100.0000,78
  85.3500,   0.7915,   0.0001, 100.0000,79
  85.3300,   0.7878,   0.0001, 100.0000,80
  85.4500,   0.7941,   0.0001, 100.0000,81
  85.5100,   0.7899,   0.0001, 100.0000,82
  85.4700,   0.7946,   0.0001, 100.0000,83
  85.5200,   0.7921,   0.0001, 100.0000,84
  85.4300,   0.7971,   0.0001, 100.0000,85
  85.5400,   0.7924,   0.0001, 100.0000,86
  85.4100,   0.7972,   0.0001, 100.0000,87
  85.4600,   0.7961,   0.0001, 100.0000,88
  85.4200,   0.7949,   0.0001, 100.0000,89
  85.4800,   0.7970,   0.0001, 100.0000,90
  85.4400,   0.8023,   0.0000, 100.0000,91
  85.5600,   0.8020,   0.0000, 100.0000,92
  85.4500,   0.8035,   0.0001, 100.0000,93
  85.5000,   0.8032,   0.0000, 100.0000,94
  85.6600,   0.7999,   0.0000, 100.0000,95
  85.5900,   0.8040,   0.0000, 100.0000,96
  85.5900,   0.8049,   0.0001, 100.0000,97
  85.6300,   0.8039,   0.0001, 100.0000,98
  85.5500,   0.8033,   0.0000, 100.0000,99
  85.4600,   0.8047,   0.0000, 100.0000,100
  85.5000,   0.8074,   0.0000, 100.0000,101
  85.5900,   0.8056,   0.0000, 100.0000,102
  85.5300,   0.8087,   0.0000, 100.0000,103
  85.5800,   0.8081,   0.0000, 100.0000,104
  85.5400,   0.8110,   0.0000, 100.0000,105
  85.5700,   0.8111,   0.0000, 100.0000,106
  85.5400,   0.8136,   0.0000, 100.0000,107
  85.4200,   0.8044,   0.0000, 100.0000,108
  85.5600,   0.8122,   0.0000, 100.0000,109
  85.5200,   0.8120,   0.0000, 100.0000,110
  85.5100,   0.8140,   0.0000, 100.0000,111
  85.4500,   0.8095,   0.0000, 100.0000,112
  85.4200,   0.8170,   0.0000, 100.0000,113
  85.4600,   0.8124,   0.0001, 100.0000,114
  85.5400,   0.8145,   0.0001, 100.0000,115
  85.4400,   0.8147,   0.0000, 100.0000,116
  85.4200,   0.8125,   0.0000, 100.0000,117
  85.5100,   0.8177,   0.0001, 100.0000,118
  85.4700,   0.8131,   0.0000, 100.0000,119
  85.4800,   0.8134,   0.0000, 100.0000,120
  85.4700,   0.8135,   0.0000, 100.0000,121
  85.5200,   0.8203,   0.0000, 100.0000,122
  85.5000,   0.8189,   0.0000, 100.0000,123
  85.4000,   0.8163,   0.0000, 100.0000,124
  85.5900,   0.8165,   0.0000, 100.0000,125
  85.5700,   0.8192,   0.0000, 100.0000,126
  85.5000,   0.8236,   0.0000, 100.0000,127
  85.4300,   0.8196,   0.0000, 100.0000,128
  85.5300,   0.8176,   0.0000, 100.0000,129
  85.4500,   0.8207,   0.0000, 100.0000,130
  85.5600,   0.8196,   0.0000, 100.0000,131
  85.5400,   0.8204,   0.0000, 100.0000,132
  85.6300,   0.8188,   0.0000, 100.0000,133
  85.5000,   0.8177,   0.0000, 100.0000,134
  85.4900,   0.8183,   0.0000, 100.0000,135
  85.4700,   0.8277,   0.0000, 100.0000,136
  85.5600,   0.8257,   0.0000, 100.0000,137
  85.5100,   0.8219,   0.0000, 100.0000,138
  85.5100,   0.8209,   0.0000, 100.0000,139
  85.5300,   0.8233,   0.0000, 100.0000,140
  85.4400,   0.8220,   0.0000, 100.0000,141
  85.5000,   0.8175,   0.0000, 100.0000,142
  85.5300,   0.8224,   0.0000, 100.0000,143
  85.5400,   0.8257,   0.0000, 100.0000,144
  85.4900,   0.8176,   0.0000, 100.0000,145
  85.4900,   0.8191,   0.0000, 100.0000,146
  85.5800,   0.8197,   0.0000, 100.0000,147
  85.5100,   0.8230,   0.0000, 100.0000,148
  85.5200,   0.8211,   0.0000, 100.0000,149
  85.4400,   0.8238,   0.0000, 100.0000,150
  85.5000,   0.8206,   0.0000, 100.0000,151
  85.5400,   0.8210,   0.0000, 100.0000,152
  85.4800,   0.8236,   0.0000, 100.0000,153
  85.5000,   0.8227,   0.0000, 100.0000,154
  85.5400,   0.8204,   0.0000, 100.0000,155
  85.4300,   0.8216,   0.0000, 100.0000,156
  85.5500,   0.8256,   0.0000, 100.0000,157
  85.5500,   0.8196,   0.0000, 100.0000,158
  85.6200,   0.8254,   0.0000, 100.0000,159
  85.4700,   0.8270,   0.0000, 100.0000,160
  85.5500,   0.8291,   0.0000, 100.0000,161
  85.5500,   0.8245,   0.0000, 100.0000,162
  85.6200,   0.8250,   0.0000, 100.0000,163
  85.6200,   0.8211,   0.0000, 100.0000,164
  85.5900,   0.8300,   0.0000, 100.0000,165
  85.4500,   0.8263,   0.0000, 100.0000,166
  85.5700,   0.8278,   0.0000, 100.0000,167
  85.5200,   0.8232,   0.0000, 100.0000,168
  85.5500,   0.8216,   0.0000, 100.0000,169
  85.4800,   0.8204,   0.0000, 100.0000,170
  85.5100,   0.8242,   0.0000, 100.0000,171
  85.5900,   0.8256,   0.0000, 100.0000,172
  85.5800,   0.8231,   0.0000, 100.0000,173
  85.6400,   0.8248,   0.0000, 100.0000,174
  85.6100,   0.8248,   0.0000, 100.0000,175
  85.5300,   0.8238,   0.0000, 100.0000,176
  85.5800,   0.8252,   0.0000, 100.0000,177
  85.5600,   0.8278,   0.0000, 100.0000,178
  85.4800,   0.8255,   0.0000, 100.0000,179
  85.6400,   0.8232,   0.0000, 100.0000,180
  85.5500,   0.8291,   0.0000, 100.0000,181
  85.5600,   0.8252,   0.0000, 100.0000,182
  85.5400,   0.8253,   0.0000, 100.0000,183
  85.5200,   0.8273,   0.0000, 100.0000,184
  85.4800,   0.8298,   0.0000, 100.0000,185
  85.5700,   0.8255,   0.0000, 100.0000,186
  85.5300,   0.8303,   0.0000, 100.0000,187
  85.5000,   0.8297,   0.0000, 100.0000,188
  85.5900,   0.8274,   0.0000, 100.0000,189
  85.5200,   0.8260,   0.0000, 100.0000,190
  85.6300,   0.8208,   0.0000, 100.0000,191
  85.6600,   0.8248,   0.0000, 100.0000,192
  85.5900,   0.8245,   0.0000, 100.0000,193
  85.4300,   0.8249,   0.0000, 100.0000,194
  85.5800,   0.8210,   0.0000, 100.0000,195
  85.4700,   0.8208,   0.0000, 100.0000,196
  85.4300,   0.8207,   0.0000, 100.0000,197
  85.5600,   0.8223,   0.0000, 100.0000,198
  85.5000,   0.8233,   0.0000, 100.0000,199
