acc_test,L_test,Loss_train,acc_train,it
  32.4400,   1.9546,   1.8919,  32.3325,0
  47.2900,   1.5185,   1.5078,  46.5175,1
  45.7800,   1.7681,   1.6206,  47.3050,2
  52.7100,   1.5967,   1.5105,  52.7275,3
  55.3900,   1.7134,   1.6600,  53.7500,4
  63.4000,   1.2084,   1.1662,  62.6225,5
  62.0400,   1.3207,   1.1108,  64.6150,6
  70.0000,   0.9754,   0.9343,  69.5950,7
  70.0500,   0.9695,   0.8599,  71.3050,8
  69.7900,   1.0504,   0.9570,  70.1000,9
  66.6100,   1.1544,   1.0152,  67.9525,10
  66.5300,   1.1737,   0.9810,  68.8650,11
  71.7200,   0.9355,   0.8280,  73.3125,12
  76.7500,   0.7200,   0.6123,  78.8325,13
  78.4400,   0.6475,   0.5139,  81.9625,14
  74.5400,   0.9090,   0.7088,  77.4150,15
  77.5400,   0.7150,   0.5505,  80.7800,16
  79.9200,   0.6329,   0.4892,  83.0925,17
  78.9600,   0.6282,   0.4973,  82.5350,18
  79.5200,   0.6591,   0.4897,  82.8150,19
  83.0500,   0.5420,   0.3818,  86.7400,20
  83.2000,   0.4972,   0.3516,  87.6600,21
  83.5800,   0.4879,   0.3335,  88.3875,22
  82.6000,   0.5472,   0.3544,  87.6775,23
  81.9500,   0.5614,   0.3560,  87.2725,24
  84.8800,   0.4750,   0.2855,  89.7750,25
  85.6600,   0.4447,   0.2540,  90.9375,26
  85.2000,   0.4605,   0.2690,  90.5425,27
  85.5200,   0.4346,   0.2501,  91.1175,28
  85.7700,   0.4254,   0.2199,  92.1500,29
  85.5500,   0.4479,   0.2361,  91.6650,30
  87.4200,   0.3925,   0.1719,  94.0350,31
  86.5100,   0.4293,   0.1949,  93.0625,32
  86.8500,   0.4086,   0.1848,  93.3675,33
  87.2900,   0.4163,   0.1824,  93.4000,34
  88.2500,   0.3752,   0.1453,  94.9850,35
  87.7300,   0.3932,   0.1465,  94.7625,36
  89.1300,   0.3512,   0.1202,  95.8800,37
  87.9100,   0.4101,   0.1545,  94.4400,38
  89.3000,   0.3452,   0.1136,  96.1800,39
  87.9500,   0.3964,   0.1290,  95.3075,40
  87.5800,   0.4015,   0.1452,  94.5275,41
  89.0800,   0.3561,   0.1021,  96.5750,42
  88.9700,   0.3723,   0.0936,  96.7875,43
  89.2000,   0.3683,   0.0963,  96.7625,44
  88.5900,   0.3753,   0.1036,  96.2175,45
  87.9900,   0.4039,   0.1084,  96.1475,46
  89.1400,   0.3681,   0.0847,  97.0925,47
  89.8200,   0.3574,   0.0780,  97.4400,48
  90.0500,   0.3412,   0.0733,  97.4475,49
  89.8000,   0.3551,   0.0727,  97.3725,50
  89.3600,   0.3823,   0.0832,  96.9575,51
  90.1800,   0.3438,   0.0658,  97.8775,52
  90.2900,   0.3459,   0.0511,  98.4025,53
  90.7500,   0.3393,   0.0444,  98.6900,54
  90.4000,   0.3574,   0.0474,  98.4375,55
  90.3800,   0.3461,   0.0411,  98.7325,56
  90.6500,   0.3440,   0.0432,  98.5875,57
  90.8600,   0.3460,   0.0347,  98.9700,58
  90.7000,   0.3614,   0.0363,  98.8350,59
  90.5700,   0.3576,   0.0364,  98.9050,60
  90.6500,   0.3438,   0.0314,  99.1100,61
  91.0500,   0.3506,   0.0298,  99.1325,62
  90.8700,   0.3419,   0.0298,  99.0475,63
  90.9900,   0.3539,   0.0244,  99.2650,64
  90.6400,   0.3480,   0.0267,  99.2250,65
  90.4000,   0.3725,   0.0381,  98.7000,66
  91.1600,   0.3375,   0.0219,  99.4000,67
  91.0200,   0.3528,   0.0243,  99.2650,68
  91.3900,   0.3354,   0.0207,  99.4050,69
  90.9400,   0.3758,   0.0230,  99.3450,70
  90.8100,   0.3796,   0.0225,  99.3225,71
  91.6400,   0.3396,   0.0147,  99.6550,72
  91.6400,   0.3504,   0.0142,  99.6300,73
  91.3900,   0.3549,   0.0163,  99.5350,74
  91.0100,   0.3631,   0.0237,  99.2700,75
  91.8500,   0.3417,   0.0117,  99.7500,76
  91.7500,   0.3444,   0.0119,  99.7000,77
  89.2600,   0.4774,   0.0550,  98.0225,78
  91.6800,   0.3472,   0.0118,  99.7100,79
  91.4300,   0.3528,   0.0100,  99.7725,80
  91.5000,   0.3626,   0.0111,  99.7375,81
  91.4100,   0.3579,   0.0116,  99.7100,82
  91.4800,   0.3524,   0.0110,  99.7525,83
  91.8000,   0.3448,   0.0074,  99.8775,84
  91.3500,   0.3781,   0.0102,  99.7300,85
  91.5700,   0.3677,   0.0106,  99.7125,86
  91.8600,   0.3627,   0.0075,  99.8400,87
  91.9400,   0.3606,   0.0056,  99.9150,88
  91.5500,   0.3811,   0.0074,  99.8300,89
  91.7600,   0.3854,   0.0066,  99.8575,90
  91.8200,   0.3823,   0.0062,  99.8350,91
  91.6500,   0.3814,   0.0076,  99.8025,92
  91.9000,   0.3643,   0.0049,  99.9125,93
  91.8000,   0.3804,   0.0042,  99.9325,94
  91.6800,   0.3860,   0.0055,  99.8925,95
  91.8400,   0.3904,   0.0063,  99.8725,96
  91.9200,   0.3760,   0.0040,  99.9250,97
  91.9400,   0.3891,   0.0046,  99.8875,98
  92.1100,   0.3827,   0.0039,  99.9200,99
  92.1300,   0.3795,   0.0033,  99.9450,100
  92.1400,   0.3764,   0.0035,  99.9375,101
  91.9200,   0.3945,   0.0035,  99.9425,102
  92.0700,   0.3776,   0.0034,  99.9475,103
  91.7900,   0.3929,   0.0062,  99.8550,104
  92.1300,   0.3783,   0.0042,  99.9150,105
  92.1500,   0.3808,   0.0026,  99.9725,106
  92.2000,   0.3856,   0.0034,  99.9375,107
  92.1900,   0.3856,   0.0025,  99.9650,108
  92.2400,   0.3970,   0.0027,  99.9500,109
  92.3400,   0.3866,   0.0022,  99.9725,110
  92.2300,   0.3860,   0.0020,  99.9700,111
  92.4800,   0.3869,   0.0019,  99.9725,112
  92.0800,   0.3918,   0.0017,  99.9775,113
  92.2300,   0.4016,   0.0017,  99.9750,114
  92.2400,   0.4051,   0.0017,  99.9825,115
  92.3100,   0.4011,   0.0014,  99.9875,116
  92.4500,   0.4052,   0.0014,  99.9850,117
  92.2900,   0.4032,   0.0015,  99.9800,118
  92.2800,   0.4008,   0.0012,  99.9950,119
  92.4200,   0.3993,   0.0011,  99.9925,120
  92.3700,   0.4022,   0.0011,  99.9900,121
  92.0500,   0.4091,   0.0021,  99.9625,122
  92.0900,   0.4126,   0.0017,  99.9825,123
  92.3400,   0.4062,   0.0015,  99.9850,124
  92.3800,   0.4057,   0.0015,  99.9850,125
