acc_test,L_test,Loss_train,acc_train,it
  29.0900,   1.9650,   1.9422,  28.6325,0
  28.7900,   2.0185,   1.9611,  29.4250,1
  44.4700,   1.5192,   1.5246,  44.5800,2
  45.8400,   1.4702,   1.4988,  45.1450,3
  39.8500,   1.7554,   1.7564,  38.4050,4
  49.4300,   1.4339,   1.4384,  48.0550,5
  51.8100,   1.3678,   1.3308,  52.1375,6
  60.0700,   1.1208,   1.1435,  58.8550,7
  63.1500,   1.0346,   1.0126,  64.2875,8
  62.0900,   1.0886,   1.0534,  62.4050,9
  65.7300,   0.9762,   0.9570,  65.4675,10
  67.1000,   0.9290,   0.8851,  68.1150,11
  64.0400,   1.0533,   1.0134,  64.7700,12
  71.3000,   0.8020,   0.7847,  72.2525,13
  72.9000,   0.7833,   0.7613,  73.1475,14
  68.6000,   0.8699,   0.8481,  69.5400,15
  71.8800,   0.8229,   0.7931,  72.5150,16
  74.5300,   0.7515,   0.7385,  74.1100,17
  73.2000,   0.7948,   0.7043,  75.5025,18
  76.7700,   0.6668,   0.6395,  77.3200,19
  75.9800,   0.7076,   0.6498,  77.3075,20
  78.7900,   0.6137,   0.5805,  79.7325,21
  75.7100,   0.7190,   0.6804,  76.0675,22
  80.0700,   0.5806,   0.5404,  81.0375,23
  77.7200,   0.6572,   0.6142,  78.8675,24
  80.6000,   0.5763,   0.5221,  81.6125,25
  81.0800,   0.5438,   0.5087,  81.8825,26
  80.5500,   0.5900,   0.5281,  81.9575,27
  82.0100,   0.5304,   0.4725,  83.4275,28
  82.7800,   0.4982,   0.4451,  84.4100,29
  79.4800,   0.6042,   0.5234,  81.5525,30
  83.4400,   0.4838,   0.4328,  85.2450,31
  77.7700,   0.6638,   0.5890,  79.7825,32
  83.1500,   0.5082,   0.4356,  84.7425,33
  83.3200,   0.4990,   0.4302,  85.1125,34
  82.1300,   0.5243,   0.4481,  84.2100,35
  83.3000,   0.4919,   0.4062,  85.8750,36
  85.1000,   0.4478,   0.3438,  87.9550,37
  82.8100,   0.5177,   0.4097,  85.5225,38
  82.5700,   0.5381,   0.4533,  84.2500,39
  83.2000,   0.4805,   0.3820,  86.5725,40
  85.6700,   0.4226,   0.3475,  87.9775,41
  83.7300,   0.4949,   0.4017,  86.2525,42
  84.2400,   0.4762,   0.3695,  87.0375,43
  85.0400,   0.4376,   0.3285,  88.2150,44
  85.9200,   0.4136,   0.3124,  89.3000,45
  85.2400,   0.4363,   0.3172,  88.7100,46
  86.2700,   0.4214,   0.3143,  89.0325,47
  83.0500,   0.5173,   0.3801,  86.5900,48
  84.5600,   0.4562,   0.3445,  87.6275,49
  87.1200,   0.3917,   0.2779,  90.1925,50
  85.8500,   0.4398,   0.3127,  89.0300,51
  86.8900,   0.3983,   0.2731,  90.3575,52
  86.7100,   0.4131,   0.2807,  89.9350,53
  86.5400,   0.4182,   0.2837,  90.0325,54
  87.8200,   0.3749,   0.2498,  91.3675,55
  85.4600,   0.4492,   0.3174,  88.6375,56
  85.4800,   0.4538,   0.3066,  88.8725,57
  88.1800,   0.3648,   0.2241,  92.3175,58
  88.1000,   0.3717,   0.2199,  92.1925,59
  85.4100,   0.4698,   0.2877,  89.9950,60
  86.7900,   0.4113,   0.2486,  91.0825,61
  88.3100,   0.3643,   0.2048,  92.7825,62
  88.0400,   0.3752,   0.2102,  92.4200,63
  88.5500,   0.3578,   0.2063,  92.6600,64
  87.0800,   0.4022,   0.2291,  91.8350,65
  88.3800,   0.3596,   0.1853,  93.3975,66
  88.7900,   0.3516,   0.1855,  93.4475,67
  87.9100,   0.3834,   0.2050,  92.8950,68
  89.3400,   0.3389,   0.1630,  94.3500,69
  87.6000,   0.3963,   0.2088,  92.4575,70
  88.9100,   0.3412,   0.1692,  94.0300,71
  88.1700,   0.3835,   0.1822,  93.4600,72
  89.5700,   0.3307,   0.1450,  94.9750,73
  89.2900,   0.3261,   0.1527,  94.7550,74
  89.4100,   0.3276,   0.1415,  94.8800,75
  89.5300,   0.3270,   0.1427,  95.0575,76
  89.7600,   0.3177,   0.1278,  95.7250,77
  85.9400,   0.4784,   0.2566,  90.6800,78
  89.7100,   0.3260,   0.1325,  95.4625,79
  88.6200,   0.3699,   0.1479,  94.6900,80
  88.3200,   0.3707,   0.1650,  93.8750,81
  89.5900,   0.3390,   0.1258,  95.3575,82
  89.8300,   0.3186,   0.1100,  96.3575,83
  90.1700,   0.3167,   0.1046,  96.4325,84
  90.3600,   0.3272,   0.1111,  96.0625,85
  89.4600,   0.3517,   0.1266,  95.3425,86
  90.3900,   0.3136,   0.1021,  96.5075,87
  90.5000,   0.3223,   0.0983,  96.6175,88
  90.7000,   0.3210,   0.0920,  96.7350,89
  90.0900,   0.3253,   0.1019,  96.4675,90
  88.4800,   0.4227,   0.1347,  94.9950,91
  87.6600,   0.4225,   0.1657,  93.8250,92
  89.2900,   0.3868,   0.1087,  96.0275,93
  90.7500,   0.3114,   0.0729,  97.5725,94
  90.5000,   0.3292,   0.0842,  97.0675,95
  91.1200,   0.3117,   0.0729,  97.5575,96
  89.1800,   0.4032,   0.1167,  95.7200,97
  90.8300,   0.3264,   0.0776,  97.3075,98
  90.5000,   0.3499,   0.0752,  97.3450,99
  90.9200,   0.3116,   0.0687,  97.7525,100
  90.3400,   0.3326,   0.0735,  97.5250,101
  89.0700,   0.4126,   0.0979,  96.3650,102
  90.9000,   0.3374,   0.0657,  97.7625,103
  90.9600,   0.3396,   0.0566,  98.0650,104
  89.6000,   0.4005,   0.0880,  96.9225,105
  90.9500,   0.3356,   0.0561,  98.1075,106
  91.3800,   0.3415,   0.0540,  98.1600,107
  90.0400,   0.3967,   0.0758,  97.2775,108
  90.6400,   0.3625,   0.0569,  98.0500,109
  91.3600,   0.3290,   0.0437,  98.6100,110
  91.2600,   0.3373,   0.0422,  98.5875,111
  91.1300,   0.3625,   0.0547,  98.0825,112
  91.2600,   0.3323,   0.0407,  98.7200,113
  91.4500,   0.3424,   0.0415,  98.6150,114
  91.3300,   0.3518,   0.0392,  98.6200,115
  91.3100,   0.3505,   0.0386,  98.6575,116
  91.3400,   0.3539,   0.0359,  98.8150,117
  91.5600,   0.3377,   0.0313,  98.9825,118
  91.1000,   0.3718,   0.0476,  98.4050,119
  91.4000,   0.3518,   0.0290,  99.1525,120
  91.3100,   0.3584,   0.0342,  98.8825,121
  91.6100,   0.3475,   0.0271,  99.1775,122
  91.1200,   0.3650,   0.0420,  98.5125,123
  91.4400,   0.3711,   0.0304,  99.0175,124
  91.6400,   0.3515,   0.0270,  99.1575,125
  91.8300,   0.3432,   0.0239,  99.3075,126
  91.8100,   0.3519,   0.0202,  99.4600,127
  91.7200,   0.3563,   0.0211,  99.3925,128
  91.7700,   0.3565,   0.0201,  99.3950,129
  91.8600,   0.3487,   0.0180,  99.5100,130
  92.1500,   0.3498,   0.0204,  99.4175,131
  91.7700,   0.3570,   0.0163,  99.5700,132
  92.2100,   0.3425,   0.0169,  99.5200,133
  91.9100,   0.3596,   0.0145,  99.6425,134
  91.7400,   0.3644,   0.0154,  99.5975,135
  91.9900,   0.3489,   0.0142,  99.6175,136
  91.9800,   0.3534,   0.0133,  99.6425,137
  91.9500,   0.3580,   0.0131,  99.6800,138
  91.8700,   0.3645,   0.0134,  99.6575,139
  92.0600,   0.3630,   0.0125,  99.6750,140
  92.0800,   0.3632,   0.0109,  99.7575,141
  91.9000,   0.3688,   0.0103,  99.7775,142
  92.3100,   0.3572,   0.0111,  99.7325,143
  92.1800,   0.3575,   0.0102,  99.7725,144
  92.3100,   0.3582,   0.0094,  99.7900,145
  92.0100,   0.3652,   0.0091,  99.7750,146
  92.2300,   0.3664,   0.0098,  99.7800,147
  92.1900,   0.3732,   0.0094,  99.7700,148
  92.1300,   0.3663,   0.0083,  99.8100,149
  92.2500,   0.3714,   0.0080,  99.8200,150
  92.1900,   0.3706,   0.0077,  99.8425,151
  92.2900,   0.3707,   0.0074,  99.8375,152
  92.1200,   0.3665,   0.0077,  99.8475,153
  92.1800,   0.3665,   0.0063,  99.8850,154
  92.1500,   0.3714,   0.0064,  99.8800,155
  92.2500,   0.3705,   0.0065,  99.8550,156
  92.1900,   0.3681,   0.0064,  99.8950,157
  92.3300,   0.3746,   0.0068,  99.8675,158
  92.3300,   0.3703,   0.0063,  99.8775,159
  92.1800,   0.3734,   0.0056,  99.9200,160
  92.3000,   0.3728,   0.0058,  99.8725,161
  92.3100,   0.3778,   0.0052,  99.9025,162
  92.3200,   0.3757,   0.0053,  99.9050,163
  92.2900,   0.3762,   0.0049,  99.9100,164
  92.2600,   0.3756,   0.0050,  99.9075,165
  92.1300,   0.3795,   0.0052,  99.9000,166
  92.3200,   0.3760,   0.0050,  99.9075,167
  92.2800,   0.3755,   0.0045,  99.9200,168
  92.4100,   0.3740,   0.0047,  99.9175,169
  92.2800,   0.3759,   0.0044,  99.9375,170
  92.3300,   0.3771,   0.0041,  99.9400,171
  92.4100,   0.3757,   0.0041,  99.9400,172
  92.5000,   0.3763,   0.0044,  99.9150,173
  92.3900,   0.3783,   0.0037,  99.9575,174
  92.4200,   0.3772,   0.0037,  99.9650,175
  92.3900,   0.3770,   0.0038,  99.9450,176
  92.4700,   0.3793,   0.0040,  99.9225,177
  92.4300,   0.3794,   0.0042,  99.9400,178
  92.4000,   0.3785,   0.0039,  99.9425,179
  92.4600,   0.3752,   0.0039,  99.9400,180
  92.4400,   0.3768,   0.0039,  99.9425,181
  92.3300,   0.3782,   0.0038,  99.9475,182
  92.4100,   0.3800,   0.0040,  99.9325,183
  92.4500,   0.3756,   0.0037,  99.9500,184
  92.4900,   0.3747,   0.0035,  99.9625,185
  92.3800,   0.3777,   0.0039,  99.9450,186
  92.5100,   0.3766,   0.0037,  99.9400,187
  92.4900,   0.3769,   0.0038,  99.9400,188
  92.4100,   0.3772,   0.0035,  99.9600,189
  92.4200,   0.3768,   0.0038,  99.9400,190
  92.4300,   0.3775,   0.0035,  99.9450,191
  92.5100,   0.3783,   0.0037,  99.9400,192
  92.4200,   0.3785,   0.0034,  99.9575,193
  92.5100,   0.3759,   0.0036,  99.9400,194
  92.4000,   0.3762,   0.0033,  99.9600,195
  92.4500,   0.3760,   0.0039,  99.9350,196
  92.3400,   0.3770,   0.0037,  99.9425,197
  92.4400,   0.3780,   0.0038,  99.9400,198
  92.5200,   0.3773,   0.0035,  99.9525,199
